cusip,issuer,class,put_call,value_usd,shares,sh_type
02079K305,ALPHABET INC,CAP STK CL A,,328475463,2124130,SH
043436104,ASBURY AUTOMOTIVE GROUP INC,COM,,465649974,2108540,SH
138103106,CANTALOUPE INC,COM,,56506600,7180000,SH
22266T109,COUPANG INC,CL A,,285483951,13017964,SH
29273V100,ENERGY TRANSFER L P,COM UT LTD PTN,,115365394,6205777,SH
536797103,LITHIA MTRS INC,COM,,717610780,2444678,SH
53947R105,LOAR HOLDINGS INC,COM SHS,,2644282336,37427917,SH
30303M102,META PLATFORMS INC,CL A,,227520992,394755,SH
67080N101,NUVATION BIO INC,COM CL A,,6708263,3811513,SH
88023U101,SOMNIGROUP INTERNATIONAL INC,COM,,350013330,5845246,SH
023586506,U HAUL HOLDING COMPANY,COM SER N,,192421935,3251469,SH
023586100,U HAUL HOLDING COMPANY,COM,,2379169,36401,SH
G96629103,WILLIS TOWERS WATSON PLC LTD,SHS,,243587263,720779,SH
