cusip,issuer,class,put_call,value_usd,shares,sh_type
H01301128,ALCON AG,ORD SHS,,593771,7974364,SH
023135106,AMAZON COM INC,COM,,396990,1808033,SH
032654105,ANALOG DEVICES INC,COM,,300527,1223147,SH
09857L108,BOOKING HOLDINGS INC,COM,,348890,64618,SH
099502106,BOOZ ALLEN HAMILTON HLDG COR,CL A,,8682,86866,SH
127387108,CADENCE DESIGN SYSTEM INC,COM,,59281,168767,SH
13646K108,CANADIAN PACIFIC KANSAS CITY,COM,,59559,799560,SH
217204106,COPART INC,COM,,248560,5527245,SH
294429105,EQUIFAX INC,COM,,240714,938348,SH
303250104,FAIR ISAAC CORP,COM,,185040,123646,SH
N3167Y103,FERRARI N V,COM,,306220,632960,SH
G3643J108,FLUTTER ENTMT PLC,SHS,,796701,3120116,SH
369604301,GE AEROSPACE,COM NEW,,397346,1320876,SH
45866F104,INTERCONTINENTAL EXCHANGE IN,COM,,351112,2084001,SH
461202103,INTUIT,COM,,460572,674425,SH
G54950103,LINDE PLC,SHS,,37565,79085,SH
571748102,MARSH & MCLENNAN COS INC,COM,,362704,1799753,SH
594918104,MICROSOFT CORP,COM,,553686,1068996,SH
615369105,MOODYS CORP,COM,,365528,767143,SH
79466L302,SALESFORCE INC,COM,,77292,326128,SH
92826C839,VISA INC,COM CL A,,541038,1584857,SH
941848103,WATERS CORP,COM,,241931,806948,SH
98978V103,ZOETIS INC,CL A,,100040,683704,SH
