cusip,issuer,class,put_call,value_usd,shares,sh_type
009066101,AIRBNB INC,COM CL A,,256913250,2034473,SH
03027X100,AMERICAN TOWER CORP NEW,COM,,8762232,50772,SH
084670702,BERKSHIRE HATHAWAY INC DEL,CL B NEW,,4954449,10339,SH
11271J107,BROOKFIELD CORP,CL A LTD VT SH,,689085823,17027077,SH
12510Q100,CCC INTELLIGENT SOLUTIONS HL,COM,,189078420,31513070,SH
217204106,COPART INC,COM,,265564742,7998938,SH
22160N109,COSTAR GROUP INC,COM,,417449333,10348273,SH
303250104,FAIR ISAAC CORP,COM,,388333688,363765,SH
38267D109,GOOSEHEAD INS INC,COM CL A,,18914804,443385,SH
48251W104,KKR & CO L P DEL,COM UNITS,,621422174,6718078,SH
57636Q104,MASTERCARD INCORPORATED,CL A,,1139777424,2281106,SH
615369105,MOODYS CORP,COM,,543617232,1246114,SH
67103H107,OREILLY AUTOMOTIVE INC,COM,,358699398,3885813,SH
71385M107,PERIMETER SOLUTIONS INC,COMMON STOCK,,6105000,250000,SH
776696106,ROPER TECHNOLOGIES INC,COM,,444884116,1257232,SH
79466L302,SALESFORCE INC,COM,,133991539,717799,SH
81762P102,SERVICENOW INC,COM,,114597150,1096099,SH
H82027105,SOPHIA GENETICS SA,ORDINARY SHARES,,18409743,3719140,SH
92826C839,VISA INC,COM CL A,,495310308,1638798,SH
79466L302,SALESFORCE INC,COM,Call,18667000,100000,SH
