cusip,issuer,class,put_call,value_usd,shares,sh_type
023135106,AMAZON COM INC,COM,,475912266,2167474,SH
042068205,ARM HOLDINGS PLC,SPONSORED ADS,,155375687,1098139,SH
11135F101,BROADCOM INC,COM,,245709050,744776,SH
01609W102,ALIBABA GROUP HLDG LTD,SPONSORED ADS,,173207243,969100,SH
565394103,MAPLEBEAR INC,COM,,122225199,3324951,SH
20717M103,CONFLUENT INC,CLASS A COM,,223379502,11281793,SH
22266T109,COUPANG INC,CL A,,322791605,10024584,SH
36866J105,GEMINI SPACE STA INC,CL A COM,,38336000,1600000,SH
02079K305,ALPHABET INC,CAP STK CL A,,76122389,313132,SH
G0370L116,GRAB HOLDINGS LIMITED,W EXP 12/1/202,,1763607,3502000,SH
770700102,ROBINHOOD MKTS INC,COM CL A,,371820563,2596875,SH
58733R102,MERCADOLIBRE INC,COM,,88432147,37841,SH
30303M102,META PLATFORMS INC,CL A,,1370307549,1865938,SH
594918104,MICROSOFT CORP,COM,,601905552,1162092,SH
64119N608,NETSKOPE INC,CL A,,7387250,325000,SH
67066G104,NVIDIA CORPORATION,COM,,1426385069,7644898,SH
722304102,PDD HOLDINGS INC,SPONSORED ADS,,181294946,1371680,SH
70339W104,PATTERN GROUP INC,COM SER A,,9883591,721430,SH
833445109,SNOWFLAKE INC,COM SHS,,547722012,2428384,SH
871607107,SYNOPSYS INC,COM,,127432770,258280,SH
874039100,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,,298470799,1068677,SH
90353T100,UBER TECHNOLOGIES INC,COM,,547533952,5588792,SH
98954M200,ZILLOW GROUP INC,CL C CAP STK,,168540788,2187421,SH
