cusip,issuer,class,put_call,value_usd,shares,sh_type
007903107,ADVANCED MICRO DEVICES INC,COM,,45039402,221400,SH
01609W102,ALIBABA GROUP HLDG LTD,SPONSORED ADS,,434718900,3465000,SH
02079K107,ALPHABET INC,CAP STK CL C,,497042322,1732700,SH
023135106,AMAZON COM INC,COM,,899726400,4320000,SH
N07059210,ASML HLDG NV,N Y REGISTRY SHS,,65381085,49500,SH
056752108,BAIDU INC,SPON ADR REP A,,77113782,692100,SH
058498106,BALL CORP,COM,,49475070,837000,SH
219350105,CORNING INC,COM,,153578115,1129500,SH
D18190898,DEUTSCHE BK AG,NAMEN AKT,,7671804,257616,SH
29273V100,ENERGY TRANSFER L P,COM UT LTD PTN,,30419213,1576125,SH
464286772,ISHARES INC,MSCI STH KOR ETF,,295224000,2400000,SH
47215P106,JD.COM INC,SPON ADS CL A,,38588850,1305000,SH
500767306,KRANESHARES TRUST,CSI CHI INTERNET,,30704400,1080000,SH
502431109,L3HARRIS TECHNOLOGIES INC,COM,,68339700,198000,SH
512807306,LAM RESEARCH CORP,COM NEW,,81724950,382500,SH
55087P104,LYFT INC,CL A COM,,35910000,2700000,SH
30303M102,META PLATFORMS INC,CL A,,249734745,436500,SH
595112103,MICRON TECHNOLOGY INC,COM,,562503600,1665000,SH
594918104,MICROSOFT CORP,COM,,33315300,90000,SH
55336V100,MPLX LP,COM UNIT REP LTD,,28675392,502460,SH
629377508,NRG ENERGY INC,COM NEW,,253471354,1734442,SH
67066G104,NVIDIA CORPORATION,COM,,256629600,1471500,SH
722304102,PDD HOLDINGS INC,SPONSORED ADS,,91962000,900000,SH
747525103,QUALCOMM INC,COM,,64211382,498613,SH
75513E101,RTX CORPORATION,COM,,65971800,342000,SH
80004C200,SANDISK CORP,COM,,178689375,281250,SH
874039100,TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,,448628625,1327500,SH
90353T100,UBER TECHNOLOGIES INC,COM,,455512550,6332720,SH
91324P102,UNITEDHEALTH GROUP INC,COM,,24353100,90000,SH
92840M102,VISTRA CORP,COM,,304017170,2022332,SH
963320106,WHIRLPOOL CORP,COM,,105144000,1950000,SH
