cusip,issuer,class,put_call,value_usd,shares,sh_type
00724F101,ADOBE INC,COM,,1527735,2750,SH
007903107,ADVANCED MICRO DEVICES INC,COM,Put,2757570,17000,SH
00760J108,AEHR TEST SYS,COM,,670200,60000,SH
00130H105,AES CORP,COM,,175700,10000,SH
011532108,ALAMOS GOLD INC NEW,COM CL A,,7840000,500000,SH
02079K107,ALPHABET INC,CAP STK CL C,,4860630,26500,SH
02128L106,ALTA EQUIPMENT GROUP INC,COMMON STOCK,,603000,75000,SH
02155H200,ALTIMMUNE INC,COM NEW,,1662500,250000,SH
02217A102,ALTUS POWER INC,COM CL A,,5981920,1526000,SH
023135106,AMAZON COM INC,COM,,5797200,30000,SH
02361E108,AMERESCO INC,CL A,,5617950,195000,SH
030111207,AMERICAN SUPERCONDUCTOR CORP,SHS NEW,,935600,40000,SH
037833100,APPLE INC,COM,,4949100,23500,SH
038169207,APPLIED DIGITAL CORP,COM NEW,,3760400,632000,SH
038169207,APPLIED DIGITAL CORP,COM NEW,Call,3570000,600000,SH
04271T100,ARRAY TECHNOLOGIES INC,COM SHS,,1542078,150300,SH
04523Y105,ASPEN AEROGELS INC,COM,,9420750,395000,SH
04523Y105,ASPEN AEROGELS INC,COM,Call,9540000,400000,SH
04626A103,ASTERA LABS INC,COM,,1240455,20500,SH
052769106,AUTODESK INC,COM,,989800,4000,SH
054540208,AXCELIS TECHNOLOGIES INC,COM NEW,,1165958,8200,SH
07831C103,BELLRING BRANDS INC,COMMON STOCK,,8571000,150000,SH
08975P108,BIGCOMMERCE HLDGS INC,COM SER 1,,749580,93000,SH
08975P108,BIGCOMMERCE HLDGS INC,COM SER 1,Call,40300,5000,SH
G1117K114,BIOCERES CROP SOLUTIONS CORP,SHS,,19422143,1732573,SH
09239B109,BLACKLINE INC,COM,,411825,8500,SH
093712107,BLOOM ENERGY CORP,COM CL A,Call,612000,50000,SH
15101Q207,CELESTICA INC,COM,,25798500,450000,SH
17253J106,CIPHER MINING INC,COM,Call,415000,100000,SH
17253J106,CIPHER MINING INC,COM,,415000,100000,SH
184499101,CLEAN ENERGY FUELS CORP,COM,,3137250,1175000,SH
18539C204,CLEARWAY ENERGY INC,CL C,,493800,20000,SH
19247G107,COHERENT CORP,COM,,3043320,42000,SH
20602D101,CONCENTRIX CORP,COM,Put,569520,9000,SH
219350105,CORNING INC,COM,,1229603,31650,SH
24703L202,DELL TECHNOLOGIES INC,CL C,,9391671,68100,SH
24703L202,DELL TECHNOLOGIES INC,CL C,Call,2068650,15000,SH
247361702,DELTA AIR LINES INC DEL,COM NEW,,7353200,155000,SH
248356107,DENISON MINES CORP,COM,,995000,500000,SH
25460G781,DIREXION SHS ETF TR,DLY GOLD INDX 2X,,3572000,95000,SH
257554105,DOMO INC,COM CL B,Call,231600,30000,SH
257554105,DOMO INC,COM CL B,,969632,125600,SH
26142V105,DRAFTKINGS INC NEW,COM CL A,,7634000,200000,SH
267475101,DYCOM INDS INC,COM,,869114,5150,SH
268150109,DYNATRACE INC,COM NEW,,5525390,123500,SH
268150109,DYNATRACE INC,COM NEW,Call,894800,20000,SH
293594107,ENOVIX CORPORATION,COM,,695700,45000,SH
29355A107,ENPHASE ENERGY INC,COM,,498500,5000,SH
29415C101,EOS ENERGY ENTERPRISES INC,COM CL A,,1950000,1500000,SH
29415C101,EOS ENERGY ENTERPRISES INC,COM CL A,Call,825500,650000,SH
30049H102,EVOLV TECHNOLOGIES HLDNGS IN,COM CL A,,1299480,509600,SH
G33856108,FERROGLOBE PLC,SHS,,9966089,1859345,SH
G33856108,FERROGLOBE PLC,SHS,Call,2682680,500500,SH
336433107,FIRST SOLAR INC,COM,,8342020,37000,SH
33736G106,FIRST TR EXCHANGE-TRADED FD,GBL WND ENRG ETF,,405250,25000,SH
338307101,FIVE9 INC,COM,,5292000,120000,SH
34379V103,FLUENCE ENERGY INC,COM CL A,,433750,25000,SH
343412102,FLUOR CORP NEW,COM,,16004625,367500,SH
G3643J108,FLUTTER ENTMT PLC,SHS,,1023891,5600,SH
34959E109,FORTINET INC,COM,Put,2410800,40000,SH
G3730V105,FTAI AVIATION LTD,SHS,,25962345,251500,SH
M5216V106,GLOBAL E ONLINE LTD,SHS,,2266875,62500,SH
37954Y871,GLOBAL X FDS,GLOBAL X URANIUM,,723750,25000,SH
393222104,GREEN PLAINS INC,COM,,793000,50000,SH
41068X100,HANNON ARMSTRONG SUST INFR C,COM,,16146800,545500,SH
G4766E116,INDIVIOR PLC,ORD,,7012200,435000,SH
G4766E116,INDIVIOR PLC,ORD,Call,2015000,125000,SH
45667G103,INFINERA CORP,COM,Call,1461600,240000,SH
46428Q109,ISHARES SILVER TR,ISHARES,,802112,30200,SH
464287515,ISHARES TR,EXPANDED TECH,,6073900,70000,SH
465741106,ITRON INC,COM,,22266000,225000,SH
55087P104,LYFT INC,CL A COM,,2492880,176800,SH
55087P104,LYFT INC,CL A COM,Call,493500,35000,SH
55955D100,MAGNITE INC,COM,,1766906,132950,SH
573874104,MARVELL TECHNOLOGY INC,COM,,13700400,196000,SH
573874104,MARVELL TECHNOLOGY INC,COM,Call,1398000,20000,SH
576323109,MASTEC INC,COM,,1604850,15000,SH
580135101,MCDONALDS CORP,COM,Put,382260,1500,SH
594918104,MICROSOFT CORP,COM,,11182091,24950,SH
60471A101,MIRION TECHNOLOGIES INC,COM CL A,,1074000,100000,SH
604749101,MIRUM PHARMACEUTICALS INC,COM,,6154200,180000,SH
553368101,MP MATERIALS CORP,COM CL A,,190950,15000,SH
55405W104,MYR GROUP INC DEL,COM,,2374925,17500,SH
65340P106,NEXGEN ENERGY LTD,COM,,1056359,151500,SH
