cusip,issuer,class,put_call,value_usd,shares,sh_type
00091G104,ACV AUCTIONS INC,COM CL A,,108494251,5022882,SH
00724F101,ADOBE INC,COM,,138319048,311053,SH
007903107,ADVANCED MICRO DEVICES INC,COM,,232169251,1922090,SH
00827B106,AFFIRM HLDGS INC,COM CL A,,8782145,144206,SH
02079K305,ALPHABET INC,CAP STK CL A,,83977455,443621,SH
023135106,AMAZON COM INC,COM,,149346890,680737,SH
N07059210,ASML HOLDING N V,N Y REGISTRY SHS,,203513239,293636,SH
04626A103,ASTERA LABS INC,COM,,243264293,1836650,SH
070830104,BATH & BODY WORKS INC,COM,,13509251,348446,SH
852234103,BLOCK INC,CL A,,61890398,728208,SH
11135F101,BROADCOM INC,COM,,104941217,452645,SH
16119P108,CHARTER COMMUNICATIONS INC N,CL A,,60748442,177228,SH
171779309,CIENA CORP,COM NEW,,6356679,74952,SH
20717M103,CONFLUENT INC,CLASS A COM,,43345018,1550251,SH
243537107,DECKERS OUTDOOR CORP,COM,,97957212,482334,SH
N14506104,ELASTIC N V,ORD SHS,,54447234,549528,SH
31488V107,FERGUSON ENTERPRISES INC,COMMON STOCK NEW,,52344546,301576,SH
338307101,FIVE9 INC,COM,,16184189,398233,SH
37637K108,GITLAB INC,CLASS A COM,,26793185,475478,SH
G39387108,GLOBALFOUNDRIES INC,ORDINARY SHARES,,15666484,365101,SH
46090E103,INVESCO QQQ TR,UNIT SER 1,Put,1380321000,2700000,SH
G65163100,JOBY AVIATION INC,COMMON STOCK,,8130000,1000000,SH
512807306,LAM RESEARCH CORP,COM NEW,,6477586,89680,SH
518415104,LATTICE SEMICONDUCTOR CORP,COM,,31780480,560997,SH
55024U109,LUMENTUM HLDGS INC,COM,,147359030,1755319,SH
57636Q104,MASTERCARD INCORPORATED,CL A,,37548654,71308,SH
595112103,MICRON TECHNOLOGY INC,COM,,20247970,240589,SH
594918104,MICROSOFT CORP,COM,,134609397,319358,SH
60937P106,MONGODB INC,CL A,,81916294,351859,SH
65290E101,NEXTRACKER INC,CLASS A COM,,23148111,633674,SH
654106103,NIKE INC,CL B,,40669750,537462,SH
G6683N103,NU HLDGS LTD,ORD SHS CL A,,39472657,3810102,SH
67059N108,NUTANIX INC,CL A,,30966073,506147,SH
751212101,RALPH LAUREN CORP,CL A,,38985497,168783,SH
74967X103,RH,COM,,110172532,279917,SH
771049103,ROBLOX CORP,CL A,,35200057,608366,SH
81730H109,SENTINELONE INC,CL A,,73300648,3301831,SH
833445109,SNOWFLAKE INC,CL A,,116852392,756767,SH
83542D300,SONDER HOLDINGS INC,CL A NEW,,3054495,960533,SH
855244109,STARBUCKS CORP,COM,,89142855,976908,SH
M8744T106,TABOOLA.COM LTD,ORD SHS,,2646250,725000,SH
88160R101,TESLA INC,COM,,124663389,308695,SH
90384S303,ULTA BEAUTY INC,COM,,143557780,330071,SH
91332U101,UNITY SOFTWARE INC,COM,,85911416,3823383,SH
94419L101,WAYFAIR INC,CL A,,38718218,873606,SH
