cusip,issuer,class,put_call,value_usd,shares,sh_type
02079K107,ALPHABET INC,CAP STK CL C,,196184,1069588,SH
G1890L107,CAPRI HOLDINGS LIMITED,SHS,,33080,1000000,SH
G21810109,CLARIVATE PLC,ORD SHS,,221510,38929635,SH
G25508105,CRH PLC,ORD,,316911,4226602,SH
26969P108,EAGLE MATLS INC,COM,,74394,342102,SH
31620M106,FIDELITY NATL INFORMATION SV,COM,,264457,3509254,SH
34965K107,FORTREA HLDGS INC,COMMON STOCK,,73296,3140360,SH
36165L108,GDS HLDGS LTD,SPONSORED ADS,,39482,4249952,SH
G4412G101,HERBALIFE LTD,COM SHS,,53244,5124526,SH
444859102,HUMANA INC,COM,,156933,420000,SH
46982L108,JACOBS SOLUTIONS INC,COM,,69047,494218,SH
G50871105,JAZZ PHARMACEUTICALS PLC,SHS USD,,136000,1274248,SH
G61188101,LIBERTY GLOBAL LTD,COM CL A,,125396,7194276,SH
G61188127,LIBERTY GLOBAL LTD,COM CL C,,755252,42311011,SH
531229813,LIBERTY MEDIA CORP DEL,COM LBTY SRM S A,,13294,600194,SH
531229789,LIBERTY MEDIA CORP DEL,COM LBTY SRM S C,,23459,1058616,SH
69002RAB9,OUTBRAIN INC,NOTE 2.950% 7/2,,103267,118000000,PRN
83444M101,SOLVENTUM CORP,COM SHS,,96242,1820000,SH
G8807B106,THERAVANCE BIOPHARMA INC,COM,,35616,4200021,SH
92343E102,VERISIGN INC,COM,,18805,105764,SH
92552V100,VIASAT INC,COM,,174744,13759364,SH
95082P105,WESCO INTL INC,COM,,127292,803000,SH
G96629103,WILLIS TOWERS WATSON PLC LTD,SHS,,433225,1652648,SH
971378104,WILLSCOT MOBIL MINI HLDNG CO,COM CL A,,92971,2470000,SH
