cusip,issuer,class,put_call,value_usd,shares,sh_type
02005N100,ALLY FINL INC,COM,,463886547,12719675,SH
02005N100,ALLY FINL INC,COM,,102257321,2803875,SH
02005N100,ALLY FINL INC,COM,,154202454,4228200,SH
02005N100,ALLY FINL INC,COM,,114406390,3137000,SH
02005N100,ALLY FINL INC,COM,,176378038,4836250,SH
02005N100,ALLY FINL INC,COM,,46499250,1275000,SH
023135106,AMAZON COM INC,COM,,1469568240,7724000,SH
023135106,AMAZON COM INC,COM,,433031760,2276000,SH
025816109,AMERICAN EXPRESS CO,COM,,309391895,1149942,SH
025816109,AMERICAN EXPRESS CO,COM,,40104874157,149061045,SH
025816109,AMERICAN EXPRESS CO,COM,,376592783,1399713,SH
037833100,APPLE INC,COM,,153713960,692000,SH
037833100,APPLE INC,COM,,852979200,3840000,SH
037833100,APPLE INC,COM,,7552420,34000,SH
037833100,APPLE INC,COM,,7713242120,34724000,SH
037833100,APPLE INC,COM,,605082120,2724000,SH
037833100,APPLE INC,COM,,3450123160,15532000,SH
037833100,APPLE INC,COM,,13670543924,61542988,SH
037833100,APPLE INC,COM,,1600224520,7204000,SH
037833100,APPLE INC,COM,,3214665360,14472000,SH
037833100,APPLE INC,COM,,33929693776,152747012,SH
037833100,APPLE INC,COM,,602416560,2712000,SH
037833100,APPLE INC,COM,,838762880,3776000,SH
047726302,ATLANTA BRAVES HLDGS INC,COM SER C,,4329762,108217,SH
047726302,ATLANTA BRAVES HLDGS INC,COM SER C,,3875649,96867,SH
047726302,ATLANTA BRAVES HLDGS INC,COM SER C,,597309,14929,SH
047726302,ATLANTA BRAVES HLDGS INC,COM SER C,,145316,3632,SH
060505104,BANK AMER CORP,COM,,163581600,3920000,SH
060505104,BANK AMER CORP,COM,,496587000,11900000,SH
060505104,BANK AMER CORP,COM,,6071715,145500,SH
060505104,BANK AMER CORP,COM,,5842200000,140000000,SH
060505104,BANK AMER CORP,COM,,233688000,5600000,SH
060505104,BANK AMER CORP,COM,,87633000,2100000,SH
060505104,BANK AMER CORP,COM,,876330000,21000000,SH
060505104,BANK AMER CORP,COM,,12969684000,310800000,SH
060505104,BANK AMER CORP,COM,,5246295600,125720000,SH
060505104,BANK AMER CORP,COM,,24538534,588031,SH
060505104,BANK AMER CORP,COM,,408954000,9800000,SH
14040H105,CAPITAL ONE FINL CORP,COM,,347700891,1939213,SH
14040H105,CAPITAL ONE FINL CORP,COM,,551130009,3073787,SH
14040H105,CAPITAL ONE FINL CORP,COM,,383164100,2137000,SH
16119P108,CHARTER COMMUNICATIONS INC N,CL A,,731258969,1984259,SH
166764100,CHEVRON CORP NEW,COM,,2938281727,17564001,SH
166764100,CHEVRON CORP NEW,COM,,10271606,61400,SH
166764100,CHEVRON CORP NEW,COM,,349970680,2092000,SH
166764100,CHEVRON CORP NEW,COM,,5439803726,32517208,SH
166764100,CHEVRON CORP NEW,COM,,478181736,2858400,SH
166764100,CHEVRON CORP NEW,COM,,10301638737,61579525,SH
166764100,CHEVRON CORP NEW,COM,,324208020,1938000,SH
191216100,COCA COLA CO,COM,,57296000,800000,SH
191216100,COCA COLA CO,COM,,26604753,371471,SH
191216100,COCA COLA CO,COM,,6087700,85000,SH
191216100,COCA COLA CO,COM,,5749882784,80283200,SH
191216100,COCA COLA CO,COM,,130634880,1824000,SH
191216100,COCA COLA CO,COM,,1032130144,14411200,SH
191216100,COCA COLA CO,COM,,1073612448,14990400,SH
191216100,COCA COLA CO,COM,,20248601851,282722729,SH
191216100,COCA COLA CO,COM,,254394240,3552000,SH
191216100,COCA COLA CO,COM,,68755200,960000,SH
21036P108,CONSTELLATION BRANDS INC,CL A,,73408000,400000,SH
21036P108,CONSTELLATION BRANDS INC,CL A,,2130483680,11609000,SH
23918K108,DAVITA INC,COM,,2574804501,16832088,SH
