cusip,issuer,class,put_call,value_usd,shares,sh_type
023135106,AMAZON COM INC,COM,,215872165,905732,SH
151290889,CEMEX SA EURO MTN BE 144A,SPON ADR NEW,,99783300,8315275,SH
254687106,DISNEY WALT CO,COM,,207955921,2160581,SH
343928115,FLYEXCLUSIVE INC,*W EXP 99/99/999,,42174,200827,SH
34965K107,FORTREA HLDGS INC,COMMON STOCK,,52000787,2988551,SH
81663L200,GENEDX HOLDINGS CORP,COM CL A,,328460731,4784570,SH
452327109,ILLUMINA INC,COM,,497695958,2830552,SH
530909100,LIBERTY LIVE HOLDINGS INC,COM SER A,,101810247,1005434,SH
530909308,LIBERTY LIVE HOLDINGS INC,COM SHS SER C,,3414496,32322,SH
531229771,LIBERTY MEDIA CORP DEL,COM LBTY ONE S A,,27868359,318350,SH
531229755,LIBERTY MEDIA CORP DEL,COM LBTY ONE S C,,38141626,400900,SH
30303M102,META PLATFORMS INC,CL A,Call,56329000,100000,SH
30303M102,META PLATFORMS INC,CL A,,157721200,280000,SH
552953101,MGM RESORTS INTERNATIONAL,COM,,255686828,5347978,SH
594918104,MICROSOFT CORP,COM,,49112186,131661,SH
67066G104,NVIDIA CORPORATION,COM,,3251463,16250,SH
615111101,ONTERRIS INC,COM,,35771700,1770000,SH
44891N208,PEOPLE INC,COM NEW,,128957884,2793715,SH
72703H101,PLANET FITNESS MASTER ISSUER,CL A,,98796311,1893738,SH
76131D103,RESTAURANT BRANDS INTL INC,COM,,91738057,1265178,SH
844895102,SOUTHWEST GAS HLDGS INC,COM,,284533150,3208538,SH
88160R101,TESLA INC,COM,,1198710,2850,SH
907818108,UNION PAC CORP,COM,,88761760,326330,SH
29430C102,VESTIS CORPORATION,COM SHS,,287698743,19813963,SH
92840M102,VISTRA CORP,COM,,161838768,1020228,SH
