cusip,issuer,class,put_call,value_usd,shares,sh_type
000899104,ADMA BIOLOGICS INC,COM,,13926,1545610,SH
013872106,ALCOA CORP,COM,,99057,1493390,SH
020398707,ALMONTY INDS INC,COM NEW,,6804,469880,SH
023135106,AMAZON COM INC,COM,,9539,45800,SH
023135106,AMAZON COM INC,COM,Call,41654,200000,SH
042068205,ARM HOLDINGS PLC,SPONSORED ADS,,16142,106700,SH
G0896C103,BBB FOODS INC,CL A COM,,109972,3109202,SH
07782B104,BELITE BIO INC SPONSORED,ADS,,16917,106100,SH
093712107,BLOOM ENERGY CORP,COM CL A,,18470,136320,SH
11135F101,BROADCOM INC,COM,,60650,195955,SH
142152107,CARIS LIFE SCIENCES INC,COM,,33873,1894450,SH
15101Q207,CELESTICA INC,COM,,9373,33275,SH
185899101,CLEVELAND-CLIFFS INC NEW,COM,,19549,2313455,SH
18915M107,CLOUDFLARE INC,CL A COM,,10840,52535,SH
19247G107,COHERENT CORP,COM,,9624,40400,SH
22266T109,COUPANG INC,CL A,,50362,2667485,SH
G25508105,CRH PLC,ORD,,39689,377555,SH
234264109,DAKTRONICS INC,COM,,11000,562637,SH
23306J309,DBV TECHNOLOGIES S A SPONSORED,ADS,,8008,383363,SH
278768106,ECHOSTAR CORP,CL A,,7114,60765,SH
349381103,FIGURE TECHNOLOGY SOLUTIO,COM CL A,,39057,1150415,SH
37950E259,GLOBAL X FDS,GB MSCI AR ETF,,36152,387400,SH
444859102,HUMANA INC,COM,,23842,137505,SH
457669307,INSMED INC,COM PAR $.01,,188717,1154090,SH
458140100,INTEL CORP,COM,,18155,411400,SH
46137V357,INVESCO EXCHANGE TRADED FD T,S&P500 EQL WGT,Call,157566,821000,SH
464286400,ISHARES INC,MSCI BRAZIL ETF,,131915,3436170,SH
464286400,ISHARES INC,MSCI BRAZIL ETF,Call,162313,4228000,SH
46428R107,ISHARES S&P GSCI COMMODITY-,UNIT BEN INT,,20737,643000,SH
464287655,ISHARES TR,RUSSELL 2000 ETF,Call,19592,79000,SH
466313103,JABIL INC,COM,,21835,82200,SH
N4732M103,JBS N.V.,CL A SHS,,11780,655900,SH
518415104,LATTICE SEMICONDUCTOR CORP,COM,,29974,323135,SH
G54950103,LINDE PLC,SHS,,20425,41200,SH
55024U109,LUMENTUM HLDGS INC,COM,,4893,6963,SH
N53745100,LYONDELLBASELL INDUSTRIES NV,SHS - A -,,10588,131435,SH
58733R102,MERCADOLIBRE  INC,COM,,4782,2766,SH
595112103,MICRON TECHNOLOGY INC,COM,,7905,23400,SH
632307104,NATERA INC,COM,,612691,3063606,SH
N62509109,NEWAMSTERDAM PHARMA COMPANY,ORDINARY SHARES,,98275,3070146,SH
67080N101,NUVATION BIO INC,COM CL A,,19476,4539800,SH
68062P106,OLEMA PHARMACEUTICALS INC,COM,,14714,986827,SH
68404L201,OPTION CARE HEALTH INC,COM NEW,,50301,1868550,SH
74366E102,PROTAGONIST THERAPEUTICS INC,COM,,16832,159700,SH
74623V103,PURECYCLE TECHNOLOGIES INC,COM,,4999,963189,SH
74743L100,QNITY ELECTRONICS INC,COMMON STOCK,,14498,125655,SH
76131D103,RESTAURANT BRANDS INTL INC,COM,,33583,454435,SH
76155X100,REVOLUTION MEDICINES INC,COM,,30717,315860,SH
77543R102,ROKU INC,COM CL A,,70983,750190,SH
80004C200,SANDISK CORP,COM,,24241,38155,SH
81141R100,SEA LTD,SPONSORD ADS,,91083,1099905,SH
G7997R103,SEAGATE TECHNOLOGY HLDNGS PL,ORD SHS,,19862,50700,SH
83443Q103,SOLSTICE ADVANCED MATLS INC,COM SHS,,4762,62525,SH
84265V105,SOUTHERN COPPER CORP,COM,,20964,121843,SH
78462F103,STATE STR SPDR S&P 500 ETF T,TR UNIT,Call,58531,90000,SH
861012102,STMICROELECTRONICS N V,NY REGISTRY,,90275,2612880,SH
86384P109,STUBHUB HLDGS INC,CL A,,8531,1367177,SH
874039100,TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,,167380,495280,SH
881624209,TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADS,,71604,2377285,SH
90138F102,TWILIO INC,CL A,,22869,181760,SH
90184D100,TWIST BIOSCIENCE CORP,COM,,9789,206000,SH
910047109,UNITED AIRLS HLDGS INC,COM,,24168,262495,SH
91332U101,UNITY SOFTWARE INC,COM,,16209,738785,SH
92837L109,VISTA ENERGY S.A.B. DE C.V.,SPONSORED ADS,,10166,134700,SH
929740108,WABTEC,COM,,23715,94895,SH
Y95308105,WAVE LIFE SCIENCES LTD,SHS,,1254,173000,SH
960413102,WESTLAKE CORPORATION,COM,,2476,21194,SH
980745103,WOODWARD INC,COM,,75648,211355,SH
98420N105,XENON PHARMACEUTICALS INC,COM,,13875,238600,SH
984245100,YPF SOCIEDAD ANONIMA,SPON ADR CL D,,149566,3235962,SH
