cusip,issuer,class,put_call,value_usd,shares,sh_type
02079K107,ALPHABET INC,CAP STK CL C,,260233561,1665708,SH
023135106,AMAZON COM INC,COM,,803252415,4221867,SH
032095101,AMPHENOL CORP NEW,CL A,,115610443,1762623,SH
03852U106,ARAMARK,COM,,71633350,2075126,SH
G0450A105,ARCH CAP GROUP LTD,ORD,,415999371,4325217,SH
13646K108,CANADIAN PACIFIC KANSAS CITY,COM,,292462914,4165545,SH
14040H105,CAPITAL ONE FINL CORP,COM,,159874459,891659,SH
144285103,CARPENTER TECHNOLOGY CORP,COM,,329726764,1819885,SH
12572Q105,CME GROUP INC,COM,,459003166,1730194,SH
G25508105,CRH PLC,ORD,,372221831,4231236,SH
532457108,ELI LILLY & CO,COM,,407015055,492808,SH
31946M103,FIRST CTZNS BANCSHARES INC N,CL A,,231344115,124773,SH
337738108,FISERV INC,COM,,525905762,2381496,SH
G3643J108,FLUTTER ENTMT PLC,SHS,,486035061,2193794,SH
369604301,GE AEROSPACE,COM NEW,,299695403,1497354,SH
40415F101,HDFC BANK LTD,SPONSORED ADS,,74179795,1116493,SH
44267T102,HOWARD HUGHES HOLDINGS INC,COM,,88621015,1196288,SH
45104G104,ICICI BANK LIMITED,ADR,,158586702,5031304,SH
45841N107,INTERACTIVE BROKERS GROUP IN,COM CL A,,303686927,1833969,SH
45866F104,INTERCONTINENTAL EXCHANGE IN,COM,,189994778,1101419,SH
50212V100,LPL FINL HLDGS INC,COM,,285025632,871265,SH
573284106,MARTIN MARIETTA MATLS INC,COM,,79053058,165338,SH
57636Q104,MASTERCARD INCORPORATED,CL A,,208406735,380221,SH
30303M102,META PLATFORMS INC,CL A,,427921364,742455,SH
594918104,MICROSOFT CORP,COM,,498718003,1328533,SH
743315103,PROGRESSIVE CORP,COM,,786437244,2778832,SH
92826C839,VISA INC,COM CL A,,336085883,958985,SH
