cusip,issuer,class,put_call,value_usd,shares,sh_type
090043100,BILL HOLDINGS INC,COM,,163620000,3000000,SH
22822V101,CROWN CASTLE INC,COM,,108865750,1225000,SH
253868103,DIGITAL RLTY TR INC,COM,Put,154710000,1000000,SH
29444U700,EQUINIX INC,COM,,114924000,150000,SH
29786A106,ETSY INC,COM,,277200000,5000000,SH
302635206,FS KKR CAP CORP,COM,,3922429,264850,SH
36164V800,GCI LIBERTY INC,COM SER C,,24555921,659928,SH
92189F106,VANECK ETF TRUST,GOLD MINERS ETF,Put,1200780000,14000000,SH
40415F101,HDFC BANK LTD,SPONSORED ADS,,7920264,216756,SH
42824C109,HEWLETT PACKARD ENTERPRISE C,COM,,447516092,18630978,SH
464288513,ISHARES TR,IBOXX HI YD ETF,,306394000,3800000,SH
464287515,ISHARES TR,EXPANDED TECH,Call,105690000,1000000,SH
464287515,ISHARES TR,EXPANDED TECH,Put,31707000,300000,SH
464287598,ISHARES TR,RUS 1000 VAL ETF,Put,588952000,2800000,SH
844741108,SOUTHWEST AIRLS CO,COM,,2113140905,51128500,SH
594972AJ0,STRATEGY INC,NOTE 0.625% 3/1,,22709280,16000000,PRN
67066G104,NVIDIA CORPORATION,COM,Put,559500000,3000000,SH
68390D106,OR ROYALTIES INC.,COM SHS,,110098290,3111000,SH
713448108,PEPSICO INC,COM,,182988000,1275000,SH
72352L106,PINTEREST INC,CL A,,724920000,28000000,SH
718546104,PHILLIPS 66,COM,,2484149040,19251000,SH
46090E103,INVESCO QQQ TR,UNIT SER 1,Call,614310000,1000000,SH
46090E103,INVESCO QQQ TR,UNIT SER 1,Put,921465000,1500000,SH
G7997W102,SEADRILL LTD,COM,,157733027,4558758,SH
G8060N102,SENSATA TECHNOLOGIES HLDG PL,SHS,,108192500,3250000,SH
867224107,SUNCOR ENERGY INC NEW,COM,,2336476688,52670800,SH
89679M104,TRIPLE FLAG PRECIOUS METAL,COM,,4445358451,133815727,SH
912932100,UNITI GROUP LLC,COM SHS,,413675655,59012219,SH
94419LAR2,WAYFAIR INC,NOTE 3.500%11/1,,34327350,15000000,PRN
81369Y506,SELECT SECTOR SPDR TR,STATE STREET ENE,Put,715360000,16000000,SH
81369Y704,SELECT SECTOR SPDR TR,STATE STREET IND,Put,1163400000,7500000,SH
81369Y308,SELECT SECTOR SPDR TR,STATE STREET CON,Put,1553600000,20000000,SH
78464A755,SPDR SERIES TRUST,STATE STREET SPD,Put,93249000,900000,SH
78468R556,SPDR SERIES TRUST,STATE STREET SPD,Put,302821984,2398400,SH
