cusip,issuer,class,put_call,value_usd,shares,sh_type
037833100,APPLE INC,COM,,611112,2400,SH
06417N103,BANK OZK,COM,,46679949,915652,SH
084670108,BERKSHIRE HATHAWAY INC DEL,CL A,,754200,1,SH
084670702,BERKSHIRE HATHAWAY INC DEL,CL B NEW,,24351217,48437,SH
218937100,CORE NATURAL RESOURCES INC,COM SHS,,417400,5000,SH
25278X109,DIAMONDBACK ENERGY INC,COM,,572400,4000,SH
29273V100,ENERGY TRANSFER L P,COM UT LTD PTN,,2858856,166600,SH
293792107,ENTERPRISE PRODS PARTNERS L,COM,,170434008,5450400,SH
26875P101,EOG RES INC,COM,,224240,2000,SH
674599105,OCCIDENTAL PETE CORP,COM,,3264975,69100,SH
790148100,ST JOE CO,COM,,968737599,19578367,SH
084423102,WR BERKLEY CORP,COM,,20032299,261450,SH
