cusip,issuer,class,put_call,value_usd,shares,sh_type
000899104,ADMA BIOLOGICS INC,COM,,13806256,1649493,SH
02079K305,ALPHABET INC,CAP STK CL A,,633743519,1773354,SH
03831W108,APPLOVIN CORP,COM CL A,,358892731,696568,SH
053015103,AUTOMATIC DATA PROCESSING IN,COM,,582620930,2601567,SH
056525108,BADGER METER INC,COM,,25911154,174627,SH
171340102,CHURCH & DWIGHT CO INC,COM,,625518702,6456634,SH
189054109,CLOROX CO DEL,COM,,25894590,271318,SH
26622P107,DOXIMITY INC,CL A,,13549940,653324,SH
303250104,FAIR ISAAC CORP,COM,,21449885,17953,SH
34959E109,FORTINET INC,COM,,557631076,3629938,SH
36828A101,GE VERNOVA INC,COM,,481498748,409835,SH
45168D104,IDEXX LABS INC,COM,,536909312,1019887,SH
45867G101,INTERDIGITAL INC,COM,,17079534,60324,SH
562750109,MANHATTAN ASSOCIATES INC,COM,,24087047,172977,SH
571903202,MARRIOTT INTL INC NEW,CL A,,958255687,2585757,SH
57636Q104,MASTERCARD INCORPORATED,CL A,,639458194,1245051,SH
58506Q109,MEDPACE HLDGS INC,COM,,27735687,52372,SH
30303M102,META PLATFORMS INC,CL A,,592511232,1051876,SH
594918104,MICROSOFT CORP,COM,,595614836,1596737,SH
55354G100,MSCI INC,COM,,30006943,53580,SH
630402105,NAPCO SEC TECHNOLOGIES INC,COM,,23052873,606974,SH
64110L106,NETFLIX INC.,COM,,499110633,6990345,SH
65290E101,NEXTPOWER INC,CLASS A COM,,340274801,2856092,SH
67059N108,NUTANIX INC,CL A,,27430800,538281,SH
67103H107,OREILLY AUTOMOTIVE INC,COM,,14982214,162691,SH
70432V102,PAYCOM SOFTWARE INC,COM,,12663894,100763,SH
718172109,PHILIP MORRIS INTL INC,COM,,527116201,2913693,SH
742718109,PROCTER & GAMBLE CO,COM,,598052323,4078371,SH
775711104,ROLLINS INC,COM,,25876087,619935,SH
78573M104,SABRE CORP,COM,,18838806,9013783,SH
863667101,STRYKER CORPORATION,COM,,917391182,2913833,SH
874039100,TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,,548464789,1148449,SH
882508104,TEXAS INSTRS INC,COM,,536282179,1799182,SH
872540109,TJX COS INC NEW,COM,,344297688,2272592,SH
90353T100,UBER TECHNOLOGIES INC,COM,,645337776,8943151,SH
922475108,VEEVA SYS INC,CL A COM,,144954834,816785,SH
92343E102,VERISIGN INC,COM,,14015162,55713,SH
92537N108,VERTIV HOLDINGS CO,COM CL A,,14026614,41893,SH
92826C839,VISA INC,COM CL A,,692976613,2019810,SH
941848103,WATERS CORP,COM,,852702945,2273632,SH
988498101,YUM BRANDS INC,COM,,88899265,556107,SH
