cusip,issuer,class,put_call,value_usd,shares,sh_type
03524A108,ANHEUSER BUSCH INBEV SA/NV,SPONSORED ADR,,101515830,1703000,SH
084670702,BERKSHIRE HATHAWAY INC DEL,CL B NEW,,10942248714,21765224,SH
136375102,CANADIAN NATL RY CO,COM,,4887265920,51826786,SH
149123101,CATERPILLAR INC,COM,,3031626920,6353614,SH
191241108,COCA-COLA FEMSA SAB DE CV,SPONS ADS REP,,516443149,6214719,SH
22266T109,COUPANG INC,CL A,,297787049,9248045,SH
235851102,DANAHER CORPORATION,COM,,73950980,373000,SH
244199105,DEERE & CO,COM,,1626646664,3557378,SH
278865100,ECOLAB INC,COM,,1429013530,5218044,SH
31428X106,FEDEX CORP,COM,,562256403,2384362,SH
440452100,HORMEL FOODS CORP,COM,,51590075,2085290,SH
500754106,KRAFT HEINZ CO,COM,,64386504,2472600,SH
55825T103,MADISON SQUARE GRDN SPRT COR,CL A,,134476162,592406,SH
580135101,MCDONALDS CORP,COM,,101772761,334900,SH
594918104,MICROSOFT CORP,COM,,4760585666,9191207,SH
H5919C104,ON HLDG AG,NAMEN AKT A,,21175000,500000,SH
693718108,PACCAR INC,COM,,98320000,1000000,SH
80810D103,SCHRODINGER INC,COM,,140052180,6981664,SH
92338C103,VERALTO CORP,COM SHS,,13255141,124333,SH
931142103,WALMART INC,COM,,864722560,8390477,SH
94106B101,WASTE CONNECTIONS INC,COM,,358486965,2039175,SH
94106L109,WASTE MGMT INC DEL,COM,,6389571186,28934344,SH
955306105,WEST PHARMACEUTICAL SVSC INC,COM,,116605685,444500,SH
