cusip,issuer,class,put_call,value_usd,shares,sh_type
78462F103,SPDR S&P 500 ETF,ETF,,1435954,2567,SH
037833100,APPLE INC,COM,,2080692,9367,SH
874039100,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,,1917300,11550,SH
14040H105,CAPITAL ONE FC,COM,,2200728,12274,SH
594918104,MICROSOFT CORP,COM,,745900,1987,SH
33829M101,FIVE BELOW INC,COM,,46572631,621590,SH
78463V107,SPDR GOLD TR,GOLD SHS,,1123170,3898,SH
743315103,PROGRESSIVE CORP,COM,,149755874,529154,SH
143130102,CARMAX INC,COM,,127915186,1641622,SH
92826C839,VISA INC,COM CL A,,137923183,393549,SH
62944T105,NVR INC,COM,,97726821,13490,SH
084670702,BERKSHIRE HATHAWAY INC DEL,CL B NEW,,268064557,503332,SH
855244109,STARBUCKS CORP,COM,,73242430,746686,SH
060505104,BANK AMERICA CORP,COM,,41646582,998001,SH
254687106,DISNEY WALT CO,COM,,24428546,247503,SH
032654105,ANALOG DEVICES INC,COM,,34554138,171340,SH
49338L103,KEYSIGHT TECHNOLOGIES INC,COM,,49575517,331011,SH
06417N103,BANK OZK LITTLE ROCK ARK,COM,,52553340,1209513,SH
02079K305,ALPHABET INC,CAP STK CL A,,55609008,359603,SH
09857L108,BOOKING HOLDINGS INC.,COM,,97353222,21132,SH
550021109,LULULEMON ATHLETICA INC,COM,,40525417,143169,SH
537008104,LITTELFUSE INC,COM,,15838357,80504,SH
337738108,FISERV INC,COM,,139041855,629633,SH
115236101,BROWN & BROWN,COM,,36648613,294603,SH
02079K107,ALPHABET INC C,CAP STK CL C,,101775409,651446,SH
339750101,FLOOR & DECOR HLDGS INC,CL A,,18820163,233878,SH
55261F104,M & T BK CORP,COM,,65696345,367532,SH
M2029K104,BIRKENSTOCK HLDG PLC,COM,,1255923,27392,SH
217204106,COPART INC,COM,,1555320,27484,SH
22160K105,COSTCO WHSL CORP NEW,COM,,226987,240,SH
26154D100,DREAM FINDERS HOMES,COM,,726477,32202,SH
46120E602,INTUITIVE SURGICAL INC,COM NEW,,200584,405,SH
670100205,NOVO-NORDISK A S,ADR,,861056,12400,SH
679580100,OLD DOMINION FREIGHT LINE IN,COM,,869440,5255,SH
82982L103,SITEONE LANDSCAPE SUPPLY INC,COM,,455764,3753,SH
98850P109,YUM CHINA HLDGS INC,COM,,1876034,36036,SH
30303M102,META PLATFORMS INC,CL A,,181636396,315144,SH
422806208,HEICO CORP NEW,CL A,,156542061,742011,SH
808513105,SCHWAB CHARLES CORP,COM,,74292886,949066,SH
570535104,MARKEL CORP,COMMON STOCK,,81144813,43402,SH
031100100,AMETEK INC,COM,,168255489,977434,SH
45780R101,INSTALLED BLDG PRODS INC,COM,,87114197,508073,SH
225310101,CREDIT ACCEP CORP MICH,COM,,15413564,29851,SH
46625H100,JPMORGAN CHASE & CO,COM,,10911680,44483,SH
31488V107,FERGUSON ENTERPRISES INC,COM,,5509669,34386,SH
57636Q104,MASTERCARD INCORPORATED,CL A,,14822809,27043,SH
016255101,ALIGN TECHNOLOGY INC,COM,,7170146,45135,SH
464288752,ISHARES TR,US HOME CONS ETF,,1043597,10961,SH
58506Q109,MEDPACE HOLDINGS INC,COM,,76762685,251937,SH
040413106,ARISTA NETWORKS INC,COM,,36146589,466528,SH
084670108,BERKSHIRE HATHAWAY INC DEL,CL A,,8782862,11,SH
49714P108,KINSALE CAPITAL GROUP IN,COM,,82724639,169967,SH
09290C756,BLACKROCK ISHS PRM MM ETF,COM,,1293008,12876,SH
12008R107,BUILDERS FIRSTSOURCE INC,COM,,10300678,82445,SH
