cusip,issuer,class,put_call,value_usd,shares,sh_type
01626W101,ALIGHT INC,COM CL A,,138003976,24382328,SH
023135106,AMAZON COM INC,COM,,123488927,562874,SH
053774105,AVIS BUDGET GROUP,COM,Call,45643500,270000,SH
071705107,BAUSCH PLUS LOMB CORP,COMMON SHARES,,20215654,1553855,SH
117043109,BRUNSWICK CORP,COM,,36375595,658501,SH
124155110,BUTTERFLY NETWORK INC,*W EXP 02/12/202,,103314,1713333,SH
124155102,BUTTERFLY NETWORK INC,COM CL A,,19910288,9955144,SH
G21810109,CLARIVATE PLC,ORD SHS,,20459985,4758136,SH
216648501,COOPER COS INC,COM,,19973758,280688,SH
126650100,CVS HEALTH CORP,COM,,565415195,8196799,SH
235851102,DANAHER CORPORATION,COM,,9877000,50000,SH
253393102,DICKS SPORTING GOODS INC,COM,,57470135,290532,SH
23355L106,DXC TECHNOLOGY CO,COM,,89699504,5866547,SH
28618M106,ELEMENT SOLUTIONS INC,COM,,63783442,2816046,SH
30212P303,EXPEDIA GROUP INC,COM NEW,,85732622,508256,SH
37611X209,GINKGO BIOWORKS HOLDINGS INC,CL A NEW,,1680514,149379,SH
37940X102,GLOBAL PMTS INC,COM,,345524036,4316892,SH
46266C105,IQVIA HLDGS INC,COM,,15759000,100000,SH
477839104,JBT MAREL CORPORATION,COM,,29029201,241387,SH
499049104,KNIGHT-SWIFT TRANSN HLDGS IN,CL A,,51743615,1169876,SH
573874104,MARVELL TECHNOLOGY INC,COM,,31502729,407012,SH
58155Q103,MCKESSON CORP,COM,,18747444,25584,SH
30303M102,META PLATFORMS INC,CL A,,85569726,115934,SH
55306N104,MKS INC.,COM,,23080931,232296,SH
62855J104,MYRIAD GENETICS INC,COM,,24359131,4587407,SH
63845R107,NATIONAL VISION HLDGS INC,COM,,18696407,812534,SH
682189105,ON SEMICONDUCTOR CORP,COM,,9129350,174191,SH
70450Y103,PAYPAL HLDGS INC,COM,,74776622,1006144,SH
74967X103,RH,COM,,12459917,65922,SH
80004C200,SANDISK CORP,COM,,1180461,26030,SH
86881A100,SURGERY PARTNERS INC,COM,,33994672,1529225,SH
88033G407,TENET HEALTHCARE CORP,COM NEW,,515680880,2930005,SH
881624209,TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADS,,265213977,15824223,SH
125523100,THE CIGNA GROUP,COM,,122940388,371893,SH
883556102,THERMO FISHER SCIENTIFIC INC,COM,,40546000,100000,SH
90353T100,UBER TECHNOLOGIES INC,COM,,24880404,266671,SH
910047109,UNITED AIRLS HLDGS INC,COM,,45298481,568862,SH
913903100,UNIVERSAL HLTH SVCS INC,CL B,,70553759,389477,SH
912008109,US FOODS HLDG CORP,COM,,106187626,1378881,SH
92556V106,VIATRIS INC,COM,,73650925,8247584,SH
94419L101,WAYFAIR INC,CL A,,26996397,527892,SH
958102105,WESTERN DIGITAL CORP,COM,,38430474,600570,SH
98980F104,ZOOMINFO TECHNOLOGIES INC,COMMON STOCK,,165779758,16381399,SH
