cusip,issuer,class,put_call,value_usd,shares,sh_type
01626W101,ALIGHT INC,COM CL A,,12036485,1630960,SH
01626W101,ALIGHT INC,COM CL A,,65674325,8898960,SH
01626W101,ALIGHT INC,COM CL A,,4015975,544170,SH
10922N103,BRIGHTHOUSE FINL INC,COM,,7181525,165702,SH
10922N103,BRIGHTHOUSE FINL INC,COM,,103838436,2395903,SH
10922N103,BRIGHTHOUSE FINL INC,COM,,17831203,411426,SH
G1890L107,CAPRI HOLDINGS LIMITED,SHS,,3092980,93500,SH
G1890L107,CAPRI HOLDINGS LIMITED,SHS,,19559212,591270,SH
20854L108,CONSOL ENERGY INC NEW,COM,,25746556,252343,SH
20854L108,CONSOL ENERGY INC NEW,COM,,141659166,1388407,SH
22407B108,COYA THERAPEUTICS INC,COMMON STOCK,,6271646,1034925,SH
22407B108,COYA THERAPEUTICS INC,COMMON STOCK,,1448952,239101,SH
236272100,DANIMER SCIENTIFIC INC,COM CL A,,220286,365196,SH
236272100,DANIMER SCIENTIFIC INC,COM CL A,,20448,33900,SH
236272100,DANIMER SCIENTIFIC INC,COM CL A,,1408764,2335484,SH
Y2065G121,DHT HOLDINGS INC,SHS NEW,,39346446,3400730,SH
Y2065G121,DHT HOLDINGS INC,SHS NEW,,7215168,623610,SH
33733E807,FIRST TR EXCHANGE-TRADED FD,NAT GAS ETF,,1574172,59900,SH
33733E807,FIRST TR EXCHANGE-TRADED FD,NAT GAS ETF,,287240,10930,SH
36269B105,GAIN THERAPEUTICS INC,COM,,629926,492130,SH
36269B105,GAIN THERAPEUTICS INC,COM,,94720,74000,SH
36315X101,GALAPAGOS NV,SPON ADR,,770658,31100,SH
36315X101,GALAPAGOS NV,SPON ADR,,5048380,203728,SH
38268T103,GOPRO INC,CL A,,3491695,2458940,SH
38268T103,GOPRO INC,CL A,,517107,364160,SH
388689101,GRAPHIC PACKAGING HLDG CO,COM,,31317281,1194860,SH
388689101,GRAPHIC PACKAGING HLDG CO,COM,,5275287,201270,SH
392709101,GREEN BRICK PARTNERS INC,COM,,103185976,1802690,SH
392709101,GREEN BRICK PARTNERS INC,COM,,495967027,8664693,SH
40434L105,HP INC,COM,,21688236,619310,SH
40434L105,HP INC,COM,,96435274,2753720,SH
44891N208,IAC INC,COM NEW,,11793082,251720,SH
44891N208,IAC INC,COM NEW,,1861819,39740,SH
