cusip,issuer,class,put_call,value_usd,shares,sh_type
023135106,AMAZON COM INC,COM,,50245000,260000,SH
146869102,CARVANA CO,CL A,,753648134,5854942,SH
22266T109,COUPANG INC,CL A,,206494869,9856557,SH
25809K105,DOORDASH INC,CL A,,36251261,333253,SH
49845K101,KLAVIYO INC,COM SER A,,62518602,2511796,SH
565394103,MAPLEBEAR INC,COM,,24386739,758766,SH
650111107,NEW YORK TIMES CO,CL A,,34875137,681022,SH
74275K108,PROCORE TECHNOLOGIES INC,COM,,25124793,378899,SH
81141R100,SEA LTD,SPONSORD ADS,,54060798,756942,SH
833445109,SNOWFLAKE INC,CL A,,22965300,170000,SH
83542D300,SONDER HOLDINGS INC,CLASS A NEW,,231986,50105,SH
888787108,TOAST INC,CL A,,200223597,7769639,SH
91688F104,UPWORK INC,COM,,11372715,1057927,SH
98954M200,ZILLOW GROUP INC,CL C CAP STK,,1369015,29511,SH
98954M101,ZILLOW GROUP INC,CL A,,1256661,27901,SH
