cusip,issuer,class,put_call,value_usd,shares,sh_type
02079K305,ALPHABET INC,CAP STK CL A,,731351348,2543300,SH
02079K107,ALPHABET INC,CAP STK CL C,,703179918,2451300,SH
037833100,APPLE INC,COM,,28069174,110600,SH
060505104,BK OF AMERICA CORP,COM,,146151866,2997987,SH
084670702,BERKSHIRE HATHAWAY INC DEL,CL B NEW,,430201321,897749,SH
227046109,CROCS INC,COM,,73646461,887093,SH
27579R104,EAST WEST BANCORP INC,COM,,296403233,2776351,SH
093671105,BLOCK H & R INC,COM,,51637996,1626906,SH
615369105,MOODYS CORP,COM,,51383270,117784,SH
55354G100,MSCI INC,COM,,10208310,18939,SH
674599105,OCCIDENTAL PETE CORP,COM,,95322500,1466500,SH
722304102,PDD HOLDINGS INC,SPONSORED ADS,,470845440,4608000,SH
78409V104,S&P GLOBAL INC,COM,,51663072,121463,SH
88034P109,TENCENT MUSIC ENTMT GROUP,SPON ADS,,61162958,6590836,SH
