cusip,issuer,class,put_call,value_usd,shares,sh_type
025537101,AMERICAN ELECTRIC POWER COMPANY,COM,,105753022,1205300,SH
071705107,BAUSCH PLUS LOMB CORP.,COMMON SHARES,,50820000,3500000,SH
071734107,BAUSCH HEALTH COMPANIES INC.,COM,,242006192,34721118,SH
12769G100,"CAESARS ENTERTAINMENT, INC.",COM,,96969932,2440109,SH
155923105,"CENTURI HOLDINGS, INC.",COM SHS,,50490777,2591929,SH
12662P108,CVR ENERGY INC,COM,,1370420039,51192381,SH
12662P108,CVR ENERGY INC,COM,,414935000,15500000,SH
126633205,"CVR PARTNERS, LP",COM,,294468720,3892000,SH
235825205,DANA INC.,COM,,173152441,14286505,SH
451100101,ICAHN ENTERPRISES LP,DEPOSITARY UNIT,,3355352736,203601501,SH
451100101,ICAHN ENTERPRISES LP,DEPOSITARY UNIT,,739648834,44881604,SH
451100101,ICAHN ENTERPRISES LP,DEPOSITARY UNIT,,1430657871,86811764,SH
451100101,ICAHN ENTERPRISES LP,DEPOSITARY UNIT,,920438702,55851863,SH
451100101,ICAHN ENTERPRISES LP,DEPOSITARY UNIT,,249956346,15167254,SH
452327109,ILLUMINA INC.,COM,,44883400,430000,SH
459506101,INTERNATIONAL FLAVORS AND FRAGRANCES INC.,COM,,357037500,3750000,SH
477143101,JETBLUE AIRWAYS CORP.,COM,,107957607,17727029,SH
80007P869,"SANDRIDGE ENERGY, INC.",COM NEW,,62307498,4818832,SH
844895102,SOUTHWEST GAS HOLDINGS INC.,COM,,775770870,11022604,SH
