cusip,issuer,class,put_call,value_usd,shares,sh_type
00827B106,AFFIRM HLDGS INC,COM CL A,,268040888,3601248,SH
02079K305,ALPHABET INC,CAP STK CL A,,418168000,1336000,SH
G037AX101,AMBARELLA INC,SHS,,112428817,1587081,SH
03831W108,APPLOVIN CORP,COM CL A,,1411867849,2095319,SH
911684108,ARRAY DIGITAL INFRASTRUCTURE,COM,,97365555,1815844,SH
171779309,CIENA CORP,COM NEW,,387328946,1656172,SH
20717M103,CONFLUENT INC,CLASS A COM,,335482560,11094000,SH
21874A106,CORE SCIENTIFIC INC NEW,COM,,189842292,13038619,SH
256163106,DOCUSIGN INC,COM,,325225106,4754753,SH
315616102,F5 INC,COM,,579698778,2271013,SH
35137L105,FOX CORP,CL A COM,,217237111,2973000,SH
531229755,LIBERTY MEDIA CORP DEL,COM LBTY ONE S C,,447471430,4542396,SH
53626N102,LIONSGATE STUDIOS CORP,COM,,51118870,5599000,SH
538034109,LIVE NATION ENTERTAINMENT IN,COM,,569502961,3996512,SH
558256103,MADISON SQUARE GARDEN ENTMT,COM CL A,,197384197,3662724,SH
30303M102,META PLATFORMS INC,CL A,,262622087,397858,SH
60937P106,MONGODB INC,CL A,,418237873,996540,SH
64110L106,NETFLIX INC,COM,,406168320,4332000,SH
67059N108,NUTANIX INC,CL A,,160625693,3107481,SH
67066G104,NVIDIA CORPORATION,COM,,944251739,5063012,SH
833445109,SNOWFLAKE INC,COM SHS,,345619229,1575580,SH
55826T102,SPHERE ENTERTAINMENT CO,CL A,,247741873,2605615,SH
H8088L103,SPORTRADAR GROUP AG,CLASS A ORD SHS,,75117336,3160174,SH
91680M107,UPSTART HLDGS INC,COM,,219166408,5011809,SH
98980F104,ZOOMINFO TECHNOLOGIES INC,COMMON STOCK,,89431624,8793670,SH
