cusip,issuer,class,put_call,value_usd,shares,sh_type
007903107,ADVANCED MICRO DEVICES INC,COM,,38141709,232458,SH
023135106,AMAZON COM INC,COM,,22006877,118107,SH
037833100,APPLE INC,COM,,15265461,65517,SH
N07059210,ASML HOLDING N V,N Y REGISTRY SHS,,266640,320,SH
052769106,AUTODESK INC,COM,,17937329,65113,SH
090043100,BILL HOLDINGS INC,COM,,19698790,373366,SH
093712107,BLOOM ENERGY CORP,COM CL A,,14435457,1366994,SH
11135F101,BROADCOM INC,COM,,22580250,130900,SH
15101Q207,CELESTICA INC,COM,,12916746,252675,SH
M2197Q107,CELLEBRITE DI LTD,ORDINARY SHARES,,13610677,808235,SH
36828A101,GE VERNOVA INC,COM,,497211,1950,SH
37637K108,GITLAB INC,CLASS A COM,,19015941,368955,SH
45569U101,INDIE SEMICONDUCTOR INC,CLASS A COM,,7154569,1793125,SH
M6191J100,JFROG LTD,ORD SHS,,27544876,948515,SH
30303M102,META PLATFORMS INC,CL A,,20882611,36480,SH
595112103,MICRON TECHNOLOGY INC,COM,,207420,2000,SH
63947X101,NCINO INC,COM,,7896489,249968,SH
67066G104,NVIDIA CORPORATION,COM,,69668914,573690,SH
N6596X109,NXP SEMICONDUCTORS N V,COM,,438018,1825,SH
79466L302,SALESFORCE INC,COM,,13708218,50083,SH
874039100,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,Put,18530589,106700,SH
874039100,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,,60177350,346504,SH
