cusip,issuer,class,put_call,value_usd,shares,sh_type
02079K305,ALPHABET INC,CAP STK CL A,,53935041,187561,SH
032095101,AMPHENOL CORP,CL A,,28186663,223084,SH
03831W108,APPLOVIN CORP,COM CL A,,583039354,1464923,SH
04010E109,ARGAN INC,COM,,214120433,393134,SH
N07059210,ASML HLDG NV,N Y REGISTRY SHS,,865339133,655148,SH
09857L108,BOOKING HOLDINGS INC,COM,,10125820,2405,SH
101137107,BOSTON SCIENTIFIC CORP,COM,,6567101,104655,SH
11271J107,BROOKFIELD CORP,CL A LTD VT SH,,453626975,11208969,SH
14040H105,CAPITAL ONE FINL CORP,COM,,413579026,2267056,SH
144285103,CARPENTER TECHNOLOGY CORP,COM,,716541051,1817940,SH
146869102,CARVANA CO,CL A,,551645415,1754709,SH
171779309,CIENA CORP,COM NEW,,314280726,809522,SH
184496107,CLEAN HARBORS INC,COM,,503196814,1754950,SH
219350105,CORNING INC,COM,,505556448,3718147,SH
29362U104,ENTEGRIS INC,COM,,365208931,3115054,SH
43300A203,HILTON WORLDWIDE HLDGS INC,COM,,27138836,89249,SH
44812J104,HUT 8 CORP,COM,,285163591,6078951,SH
48251W104,KKR & CO INC,COM,,16585990,179308,SH
50212V100,LPL FINL HLDGS INC,COM,,616691573,2049967,SH
576323109,MASTEC INC,COM,,492600027,1531050,SH
57636Q104,MASTERCARD INCORPORATED,CL A,,28581052,57201,SH
58155Q103,MCKESSON CORP,COM,,339414961,392224,SH
58507V107,MEDLINE INC,COM CL A,,524617442,11789156,SH
G6683N103,NU HLDGS LTD,ORD SHS CL A,,546221303,38011225,SH
71377A103,PERFORMANCE FOOD GROUP CO,COM,,340769014,3978158,SH
L8681T102,SPOTIFY TECHNOLOGY S A,SHS,,33383144,68844,SH
874039100,TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,,469591664,1389530,SH
87422Q109,TALEN ENERGY CORP,COM,,580343221,1817947,SH
88033G407,TENET HEALTHCARE CORP,COM NEW,,426242485,2258717,SH
880770102,TERADYNE INC,COM,,555232819,1872876,SH
88080T104,TERAWULF INC,COM,,287466235,19921430,SH
893641100,TRANSDIGM GROUP INC,COM,,41348216,35677,SH
912008109,US FOODS HLDG CORP,COM,,350028976,3795998,SH
92826C839,VISA INC,COM CL A,,28040316,92775,SH
92840M102,VISTRA CORP,COM,,930179653,6187585,SH
929160109,VULCAN MATLS CO,COM,,39259942,144179,SH
