cusip,issuer,class,put_call,value_usd,shares,sh_type
015271109,ALEXANDRIA REAL ESTATE EQ IN,COM,,23452048,479200,SH
03064D108,AMERICOLD REALTY TRUST INC,COM,,74909359,5824989,SH
053484101,AVALONBAY CMNTYS INC,COM,,25383400,140000,SH
12769G100,CAESARS ENTERTAINMENT INC NE,COM,,34601669,1479336,SH
133131102,CAMDEN PPTY TR,SH BEN INT,,5908984,53679,SH
15202L107,CENTERSPACE,COM,,29630419,444101,SH
20464U100,COMPASS INC,CL A,,52850000,5000000,SH
229663109,CUBESMART,COM,,12506754,346928,SH
36467J108,GAMING & LEISURE PPTYS INC,COM,,44413369,993810,SH
43283X105,HILTON GRAND VACATIONS INC,COM,,32757940,732021,SH
448579102,HYATT HOTELS CORP,COM CL A,,32623356,203489,SH
45378A106,INDEPENDENCE RLTY TR INC,COM,,17490103,1000578,SH
46590V100,JBG SMITH PPTYS,COM,,70547257,4147399,SH
48251K100,KKR REAL ESTATE FIN TR INC,COM,,12848583,1563088,SH
53566V106,LINEAGE INC,COM,,6445530,184158,SH
55305B101,M/I HOMES INC,COM,,9096733,71096,SH
59522J103,MID-AMER APT CMNTYS INC,COM,,5517922,39723,SH
637870106,NATIONAL STORAGE AFFILIATES,COM SHS BEN IN,,73100940,2591313,SH
65341D102,NEXPOINT RESIDENTIAL TR INC,COM,,25370387,842870,SH
74340W103,PROLOGIS INC.,COM,,44681000,350000,SH
78646V107,SAFEHOLD INC,COM,,12936215,944939,SH
78440X887,SL GREEN RLTY CORP,COM,,6340610,138230,SH
83193G107,SMARTRENT INC,COM CL A,,11332503,5610150,SH
866082100,SUMMIT HOTEL PPTYS INC,COM,,45778000,9400000,SH
867892101,SUNSTONE HOTEL INVS INC NEW,COM,,4338019,485237,SH
87266M107,TPG RE FIN TR INC,COM,,60550910,7032626,SH
89531P105,TREX CO INC,COM,,16988753,484286,SH
81282V100,UNITED PARKS & RESORTS INC,COM,,31036500,855000,SH
554489104,VERIS RESIDENTIAL INC,COM,,2232000,150000,SH
98311A105,WYNDHAM HOTELS & RESORTS INC,COM,,25524168,337800,SH
