cusip,issuer,class,put_call,value_usd,shares,sh_type
02079K305,ALPHABET INC,CAP STK CL A,,23479209,65700,SH
146869102,CARVANA CO,CL A,,20535840,312000,SH
25809K105,DOORDASH INC,CL A,,4613250,25000,SH
458140100,INTEL CORP,COM,,18710420,134000,SH
30303M102,META PLATFORMS INC,CL A,,9181627,16300,SH
595112103,MICRON TECHNOLOGY INC,COM,,18122353,15700,SH
594918104,MICROSOFT CORP,COM,,9325500,25000,SH
G6683N103,NU HLDGS LTD,ORD SHS CL A,,24088080,1803000,SH
683344105,ONTO INNOVATION INC,COM,,5033385,13300,SH
781154109,RUBRIK INC.,CL A,,16296840,203000,SH
79589L106,SAMSARA INC,COM CL A,,8924736,275200,SH
833445109,SNOWFLAKE INC,COM SHS,,10765350,42300,SH
874039100,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,,10984110,23000,SH
90353T100,UBER TECHNOLOGIES INC,COM,,5628480,78000,SH
94419L101,WAYFAIR INC,CL A,,9657890,104500,SH
