cusip,issuer,class,put_call,value_usd,shares,sh_type
00165C302,AMC ENTMT HLDGS INC,CL A NEW,,4680000,3000000,SH
02079K305,ALPHABET INC,CAP STK CL A,,563400,1800,SH
023135106,AMAZON COM INC,COM,,70164664,303980,SH
03674X106,ANTERO RESOURCES CORP,COM,,10338000,300000,SH
17243V102,CINEMARK HLDGS INC,COM,,9296000,400000,SH
127097103,COTERRA ENERGY INC,COM,,10528000,400000,SH
25179M103,DEVON ENERGY CORP NEW,COM,,10989000,300000,SH
267475101,DYCOM INDS INC,COM,,1388201328,4108320,SH
26884L109,EQT CORP,COM,,31088000,580000,SH
336433107,FIRST SOLAR INC,COM,,77062850,295000,SH
35671D857,FREEPORT-MCMORAN INC,CL B,,101580000,2000000,SH
576323109,MASTEC INC,COM,,347792000,1600000,SH
74762E102,QUANTA SCVS INC,COM,,2113608950,5007840,SH
75281A109,RANGE RES CORP,COM,,28208000,800000,SH
826919102,SILICON LABORATORIES INC,COM,,3921000,30000,SH
