cusip,issuer,class,put_call,value_usd,shares,sh_type
00534B100,ADAGIO MED HLDGS INC,COM,,12839549,9876576,SH
000899104,ADMA BIOLOGICS INC,COM,,23736152,1303468,SH
00973Y108,AKERO THERAPEUTICS INC,COM,,48871730,915887,SH
01438T106,ALDEYRA THERAPEUTICS INC,COM,,15517747,4051631,SH
03152W109,AMICUS THERAPEUTICS INC,COM,,42475516,7412830,SH
03237H101,AMYLYX PHARMACEUTICALS INC,COM,,50654160,7902365,SH
03675P102,ANTERIS TECHNOLOGIES GLOBAL,COM,,6462443,1705130,SH
03770N101,APOGEE THERAPEUTICS INC,COM,,51340688,1182148,SH
03837C106,APYX MEDICAL CORPORATION,COM,,337500,150000,SH
03843E104,AQUESTIVE THERAPEUTICS INC,COM,,7250290,2190420,SH
03940C100,ARCELLX INC,COMMON STOCK,,163176300,2478000,SH
228903100,ARTIVION INC,COM,,86884163,2793703,SH
04351P101,ASCENDIS PHARMA A/S,SPONSORED ADR,,166366724,963886,SH
04635X102,ASTRIA THERAPEUTICS INC,COM,,34761851,6485420,SH
04746L104,ATHIRA PHARMA INC,COM,,1631695,5402964,SH
05338F306,AVALO THERAPEUTICS INC,COM NEW,,696938,139667,SH
05464T104,AXSOME THERAPEUTICS INC,COM,,20724964,198534,SH
08659B102,BETA BIONICS INC,COM NEW,,23202932,1593608,SH
09075X108,BIODESIX INC,COM,,613034,2173880,SH
101137107,BOSTON SCIENTIFIC CORP,COM,,30074800,280000,SH
10919W405,BRIGHT MINDS BIOSCIENCES INC,COM NEW,,10984216,420690,SH
14070B309,CAPRICOR THERAPEUTICS INC,COM NEW,Call,993000,100000,SH
14070B309,CAPRICOR THERAPEUTICS INC,COM NEW,Put,6454500,650000,SH
142152107,CARIS LIFE SCIENCES INC,COM,,29342915,1098163,SH
15102K100,CELCUITY INC,COM,,21803327,1633208,SH
152309100,CENTESSA PHARMACEUTICALS PLC,SPONSORED ADS,,15070726,1146935,SH
159864107,CHARLES RIV LABS INTL INC,COM,,15173000,100000,SH
21217B100,CONTINEUM THERAPEUTICS INC,CL A,,2776959,699486,SH
221015100,CORVUS PHARMACEUTICALS INC,COM,,5754380,1438595,SH
G2545C104,CRESCENT BIOPHARMA INC.,COM,,7322492,453686,SH
23284F105,CYTOMX THERAPEUTICS INC,COM,,15875576,6993646,SH
26818M108,DYNE THERAPEUTICS INC,COM,,21395153,2247390,SH
28036F105,EDGEWISE THERAPEUTICS INC,COM,,60829731,4639949,SH
293602504,ENSYSCE BIOSCIENCES INC,COM NEW,,193265,86666,SH
29415J106,ENVVENO MEDICAL CORPORATION,COM,,5127014,1284966,SH
30052C107,EVOLUS INC,COM,,22793304,2474843,SH
34962G208,FORTE BIOSCIENCES INC,COM NEW,,881723,68192,SH
379577208,GLOBUS MED INC,CL A,,5223270,88500,SH
G4444H101,HELIX ACQUISITION CORP II,CL A ORD SHS,,4226760,398000,SH
N44445109,IMMATICS N.V,SHS,,50482993,9383456,SH
45258J102,IMMUNOVANT INC,COM,,34206240,2137890,SH
45719W205,INHIBIKASE THERAPEUTICS INC,COM NEW,,10592971,5432293,SH
45720N103,INHIBRX BIOSCIENCES INC,COM,,13954518,977892,SH
457669307,INSMED INC,COM PAR $.01,,65441361,650252,SH
45784P101,INSULET CORP,COM,,18972388,60387,SH
46120E602,INTUITIVE SURGICAL INC,COM NEW,,24518116,45119,SH
47103J105,JANUX THERAPEUTICS INC,COM,,6761047,292686,SH
483119202,KALA BIO INC,COM NEW,,262881,55227,SH
501575104,KYMERA THERAPEUTICS INC,COM,,9169026,210106,SH
52886X107,LEXEO THERAPEUTICS INC,COM,,562137,139835,SH
55234L204,LYRA THERAPEUTICS INC,COM NEW,,2286144,255150,SH
G59665102,MEIRAGTX HLDGS PLC,COM,,82231024,12626103,SH
N5749R100,MERUS N V,COM,,37250058,708176,SH
63909J108,NAUTILUS BIOTECHNOLOGY INC,COM,,9130802,12594211,SH
64125C109,NEUROCRINE BIOSCIENCES INC,COM,,32057234,255050,SH
67080M103,NURIX THERAPEUTICS INC,COM,,12494659,1096985,SH
670703107,NUVALENT INC,COM,,104926234,1375180,SH
68170A108,OMADA HEALTH INC,COM,,44401839,2426330,SH
67577R102,OPUS GENETICS INC,COM,,4074583,4325000,SH
68572M106,ORCHESTRA BIOMED HLDGS INC,COM,,12308050,4592556,SH
690145206,OUTSET MED INC,COM,,16008326,833333,SH
70975L107,PENUMBRA INC,COM,,8416694,32797,SH
74006W207,PRAXIS PRECISION MEDICINES I,COM NEW,,31660328,752921,SH
74366E102,PROTAGONIST THERAPEUTICS INC,COM,,59384741,1074448,SH
75382E208,RAPT THERAPEUTICS INC,COM NEW,,1471120,183890,SH
759916109,REPLIGEN CORP,COM,,20647080,166000,SH
76155X118,REVOLUTION MEDICINES INC,*W EXP 12/17/202,,65675,250000,SH
76243J105,RHYTHM PHARMACEUTICALS INC,COM,,152812314,2418299,SH
G76279101,ROIVANT SCIENCES LTD,SHS,,37545611,3331465,SH
810648105,SCPHARMACEUTICALS INC,COM,,1905000,500000,SH
81734D104,SEPTERNA INC,COM,,5723127,541450,SH
829401108,SIONNA THERAPEUTICS INC,COM,,21098381,1216045,SH
834203309,SOLENO THERAPEUTICS INC,COM,,36062179,430439,SH
83422E204,SOLID BIOSCIENCES INC,COM NEW,,57985366,11906646,SH
78464A870,SPDR SERIES TRUST,S&P BIOTECH,Put,24879000,300000,SH
00773J202,SPYRE THERAPEUTICS INC,COM NEW,,22895792,1529445,SH
86889P117,SURROZEN INC,*W EXP 08/01/203,,3017,166666,SH
89422G107,TRAVERE THERAPEUTICS INC,COM,,12346930,834252,SH
896438504,TRINITY BIOTECH PLC,SPONS ADR NEW,,1163500,1790000,SH
90400D108,ULTRAGENYX PHARMACEUTICAL IN,COM,,9817200,270000,SH
925050106,VERONA PHARMA PLC,SPONSORED ADS,,520907957,5507591,SH
92686J106,VIKING THERAPEUTICS INC,COM,,10088550,380700,SH
92790C104,VIRIDIAN THERAPEUTICS INC,COM,,6256148,447507,SH
98420N105,XENON PHARMACEUTICALS INC,COM,,6284758,200791,SH
98985Y108,ZYMEWORKS INC,COM,,16004689,1275274,SH
