cusip,issuer,class,put_call,value_usd,shares,sh_type
02079K305,ALPHABET INC,CAP STK CL A,,9310043,32376,SH
02079K107,ALPHABET INC,CAP STK CL C,,89421720,311726,SH
023135106,AMAZON COM INC,COM,,2385104083,11451981,SH
11271J107,BROOKFIELD CORP,CL A LTD VT SH,,2415946008,59697208,SH
42806J700,HERTZ GLOBAL HLDGS INC,COM NEW,,70261595,15241127,SH
44267T102,HOWARD HUGHES HOLDINGS INC,COM,,1192581569,18852064,SH
30303M102,META PLATFORMS INC,CL A,,1522358404,2660861,SH
594918104,MICROSOFT CORP,COM,,2092970053,5654078,SH
76131D103,RESTAURANT BRANDS INTL INC,COM,,1673501194,22645483,SH
812215200,SEAPORT ENTMT GROUP INC,COMMON STOCK,,107910794,5023780,SH
90353T100,UBER TECHNOLOGIES INC,COM,,2154934398,29958771,SH
