cusip,issuer,class,put_call,value_usd,shares,sh_type
67066G104,NVIDIA CORP,COM,,55112429,446110,SH
92537N108,VERTIV HOLDINGS CO,COM,,48870323,564518,SH
92840M102,VISTRA CORP,COM,,22088262,256900,SH
023135106,AMAZON.COM INC,COM,,22031466,114005,SH
21037T109,CONSTELLATION ENERGY CORP,COM,,20127135,100500,SH
24703L202,DELL TECHNOLOGIES INC,CL C,,19914755,144404,SH
594918104,MICROSOFT CORP,COM,,17102541,38265,SH
30303M102,META PLATFORMS INC,COM,,14492291,28742,SH
144285103,CARPENTER TECHNOLOGY CORP,COM,,9809492,89519,SH
26818M108,DYNE THERAPEUTICS INC,COM,,8148461,230900,SH
82452J109,SHIFT4 PAYMENTS INC,CL A,,8573368,116883,SH
532457108,ELI LILLY AND CO,COM,,7243040,8000,SH
N07059210,ASML HOLDING NV,SPONSORED ADS,,6750018,6600,SH
23804L103,DATADOG INC,CL A,,6452336,49752,SH
958102105,WESTERN DIGITAL CORP,COM,,6061600,80000,SH
81762P102,SERVICENOW INC,COM,,5995998,7622,SH
042068205,ARM HOLDINGS PLC,SPONSORED ADS,,4433938,27099,SH
47103J105,JANUX THERAPEUTICS INC,COM,,4430160,105757,SH
47103N106,JANUS INTERNATIONAL GROUP INC,COM,,5192532,362354,SH
235851102,DANAHER CORP,COM,,5396760,21600,SH
336433107,FIRST SOLAR INC,COM,,3919950,15000,SH
071705107,BAUSCH LOMB CORP,COM,,3215758,221471,SH
007903107,ADVANCED MICRO DEVICES INC,COM,,3047800,20000,SH
46266C105,IQVIA HOLDINGS INC,COM,,3751368,17742,SH
883556102,THERMO FISHER SCIENTIFIC INC,COM,,3898650,7050,SH
313586752,FEDERAL NATIONAL MORTGAGE ASSOCIATION,PFD,,2052000,400000,SH
92840M102,VISTRA CORP,COM,Call,1820000,1000,SH
874054109,TAKE-TWO INTERACTIVE SOFTWARE INC,COM,,1546348,9945,SH
60937P106,MONGODB INC,CL A,,1407774,5632,SH
573874104,MARVELL TECHNOLOGY GROUP LTD,COM,,1398000,20000,SH
92840M102,VISTRA CORP,COM,Call,995500,1100,SH
313400624,FREDDIE MAC,PFD,,720000,150000,SH
92840M102,VISTRA CORP,COM,,677500,500,SH
30303M102,META PLATFORMS INC,COM,Call,611400,240,SH
57636Q104,MASTERCARD INC,COM,,1367596,3100,SH
83444M101,SOLVENTUM CORP,COM,,253824,4800,SH
49338L103,KEYSIGHT TECHNOLOGIES INC,COM,,499137,3650,SH
75513E101,RTX CORP,COM,,501950,5000,SH
40415F101,HDFC BANK LTD,SPONSORED ADS,,418145,6500,SH
