cusip,issuer,class,put_call,value_usd,shares,sh_type
N00985106,AERCAP HOLDINGS NV,SHS,,187587105,1304863,SH
02913V103,AMERICAN PUB ED INC,COM,,378000,10000,SH
12769G100,CAESARS ENTERTAINMENT INC NE,COM,,9823800,420000,SH
124830878,CBL & ASSOC PPTYS INC,COMMON STOCK,,4351681,117613,SH
15135B101,CENTENE CORP DEL,COM,,8579775,208500,SH
278768106,ECHOSTAR CORP,CL A,,246508447,2267787,SH
278768AB2,ECHOSTAR CORP,NOTE 3.875%11/3,,180660225,53950906,PRN
28238P109,EHEALTH INC,COM,,2150017,467395,SH
036752103,ELEVANCE HEALTH INC FORMERLY,COM,,29726640,84800,SH
37890B100,GLOBAL BUSINESS TRAVEL GROUP,COM CL A,,164121692,21453816,SH
38046W204,GOHEALTH INC,CL A NEW,,1987125,924244,SH
588056101,MERCER INTL INC,COM,,9203303,4648133,SH
60855R100,MOLINA HEALTHCARE INC,COM,,19089400,110000,SH
02156K103,OPTIMUM COMMUNICATIONS INC,CL A,,13512296,8189270,SH
86389T106,STUDIO CITY INTL HLDGS LTD,SPON ADS,,11498709,3239073,SH
879433829,TELEPHONE & DATA SYS INC,COM NEW,,35939780,876580,SH
91324P102,UNITEDHEALTH GROUP INC,COM,,9078025,27500,SH
