cusip,issuer,class,put_call,value_usd,shares,sh_type
00404A109,ACADIA HEALTHCARE COMPANY IN,COM,,52734500,1330000,SH
19247G107,COHERENT CORP,COM,,107186995,1131500,SH
126650100,CVS HEALTH CORP,COM,,28056250,625000,SH
65290E101,NEXTRACKER INC,CLASS A COM,,108768075,2977500,SH
679295105,OKTA INC,CL A,,105592000,1340000,SH
83601L102,SOTERA HEALTH CO,COM,,108208800,7910000,SH
85208T107,SPRINKLR INC,CL A,,48545250,5745000,SH
87165B103,SYNCHRONY FINANCIAL,COM,,142837500,2197500,SH
87422Q109,TALEN ENERGY CORP,COM,,183337700,910000,SH
90138F102,TWILIO INC,CL A,,356123600,3295000,SH
912008109,US FOODS HLDG CORP,COM,,244205200,3620000,SH
934423104,WARNER BROS DISCOVERY INC,COM SER A,,64846950,6135000,SH
958102105,WESTERN DIGITAL CORP,COM,,176975877,2967900,SH
98980F104,ZOOMINFO TECHNOLOGIES INC,COMMON STOCK,,87600850,8335000,SH
