cusip,issuer,class,put_call,value_usd,shares,sh_type
01609W102,ALIBABA GROUP HLDG LTD,SPONSORED ADS,Call,28352500,250000,SH
N07059210,ASML HOLDING N V,N Y REGISTRY SHS,Call,20034750,25000,SH
116794108,BRUKER CORP,COM,,10300000,250000,SH
47215P106,JD.COM INC,SPON ADS CL A,Call,32640000,1000000,SH
518439104,LAUDER ESTEE COS INC,CL A,Call,40400000,500000,SH
518439104,LAUDER ESTEE COS INC,CL A,,12120000,150000,SH
550021109,LULULEMON ATHLETICA INC,COM,,11879000,50000,SH
550021109,LULULEMON ATHLETICA INC,COM,Call,95032000,400000,SH
58733R102,MERCADOLIBRE INC,COM,,7840890,3000,SH
30303M102,META PLATFORMS INC,CL A,Call,73809000,100000,SH
75886F107,REGENERON PHARMACEUTICALS,COM,,7875000,15000,SH
75886F107,REGENERON PHARMACEUTICALS,COM,Call,105000000,200000,SH
91324P102,UNITEDHEALTH GROUP INC,COM,,6239400,20000,SH
91324P102,UNITEDHEALTH GROUP INC,COM,Call,109189500,350000,SH
918204108,V F CORP,COM,Call,17625000,1500000,SH
