cusip,issuer,class,put_call,value_usd,shares,sh_type
011659109,ALASKA AIR GROUP INC,COM,,15726931,347864,SH
023135106,AMAZON COM INC,COM,,237012,1272,SH
025816109,AMERICAN EXPRESS CO,COM,,1207925,4454,SH
037833100,APPLE INC,COM,,964620,4140,SH
084670702,BERKSHIRE HATHAWAY INC DEL,CL B NEW,,109459033,237820,SH
084670108,BERKSHIRE HATHAWAY INC DEL,CL A,,87779860,127,SH
166764100,CHEVRON CORP NEW,COM,,907625,6163,SH
191216100,COCA COLA CO,COM,,1580920,22000,SH
22160K105,COSTCO WHSL CORP NEW,COM,,3838632,4330,SH
231021106,CUMMINS INC,COM,,13224879,40844,SH
254687106,DISNEY WALT CO,COM,,13411225,139424,SH
256677105,DOLLAR GEN CORP NEW,COM,,72830975,861192,SH
256746108,DOLLAR TREE INC,COM,,33995360,483438,SH
29446M102,EQUINOR ASA,SPONSORED ADR,,12137933,479192,SH
30231G102,EXXON MOBIL CORP,COM,,6614842,56431,SH
33829M101,FIVE BELOW INC,COM,,6550534,74143,SH
369604301,GE AEROSPACE,COM NEW,,1856004,9842,SH
36266G107,GE HEALTHCARE TECHNOLOGIES I,COMMON STOCK,,429927,4581,SH
36828A101,GE VERNOVA INC,COM,,1055107,4138,SH
403949100,HF SINCLAIR CORP,COM,,23664397,530949,SH
496902404,KINROSS GOLD CORP,COM,,43230414,4618634,SH
58933Y105,MERCK & CO INC,COM,,5046947,44443,SH
589400100,MERCURY GENL CORP NEW,COM,,3748878,59525,SH
651639106,NEWMONT CORP,COM,,34812747,651314,SH
654106103,NIKE INC,CL B,,3082873,34874,SH
N6596X109,NXP SEMICONDUCTORS N V,COM,,3330379,13876,SH
680665205,OLIN CORP,COM PAR $1,,25306650,527442,SH
69047Q102,OVINTIV INC,COM,,631617,16487,SH
92556H206,PARAMOUNT GLOBAL,CLASS B COM,,17960295,1691177,SH
78413P101,SEACOR MARINE HLDGS INC,COM,,2040782,211480,SH
780259305,SHELL PLC,SPON ADS,,327640,4968,SH
85207H104,SPROTT PHYSICAL GOLD TR,UNIT,,486450,23869,SH
855244109,STARBUCKS CORP,COM,,22765544,233517,SH
87165B103,SYNCHRONY FINANCIAL,COM,,221318,4437,SH
89417E109,TRAVELERS COMPANIES INC,COM,,4718689,20155,SH
91913Y100,VALERO ENERGY CORP,COM,,15804719,117046,SH
98149E303,WORLD GOLD TR,SPDR GLD MINIS,,649540,12460,SH
