cusip,issuer,class,put_call,value_usd,shares,sh_type
185123106,CLEARWATER ANALYTICS HLDGS I,CL A,,36632733,1366893,SH
N14506104,ELASTIC N V,ORD SHS,,31981020,358934,SH
Y2573F102,FLEX LTD,ORD,,33529293,1013582,SH
40171V100,GUIDEWIRE SOFTWARE INC,COM,,27408520,146288,SH
45867G101,INTERDIGITAL INC,COM,,46519164,225002,SH
565394103,MAPLEBEAR INC,COM,,16573657,415484,SH
573874104,MARVELL TECHNOLOGY INC,COM,,20382440,331045,SH
63001N106,NCR ATLEOS CORPORATION,COM SHS,,7717838,292564,SH
69608A108,PALANTIR TECHNOLOGIES INC,CL A,,16407360,194400,SH
705573103,PEGASYSTEMS INC,COM,,44127890,634751,SH
74736K101,QORVO INC,COM,,32084871,443100,SH
M87915274,TOWER SEMICONDUCTOR LTD,SHS NEW,,42532146,1192713,SH
M98068105,WIX COM LTD,SHS,,19307104,118173,SH
98980L101,ZOOM COMMUNICATIONS INC,CL A,,8024627,108779,SH
