cusip,issuer,class,put_call,value_usd,shares,sh_type
N00985106,AERCAP HOLDINGS NV,SHS,,133687946,974544,SH
02376R102,AMERICAN AIRLINES GROUP INC,COM,,69505886,6471684,SH
H2927K103,AMRIZE LTD,SHS,,210240091,3752947,SH
051774115,AURORA INNOVATION INC,*W EXP 11/03/202,,87063,437500,SH
185899101,CLEVELAND-CLIFFS INC NEW,COM,,162611639,19243981,SH
19260Q107,COINBASE GLOBAL INC,COM CL A,,45988607,263379,SH
247361702,DELTA AIR LINES INC,COM NEW,,197216111,2966548,SH
29355A107,ENPHASE ENERGY INC,COM,,34403319,909900,SH
26884L109,EQT CORP,COM,,247323368,3886288,SH
165167735,EXPAND ENERGY CORPORATION,COM,,14661668,133555,SH
349381103,FIGURE TECHNOLOGY SOLUTIO,COM CL A,,67971295,2002100,SH
35671D857,FREEPORT MCMORAN INC,CL B,,203901942,3468900,SH
36828A101,GE VERNOVA INC,COM,,101743478,116558,SH
G39387108,GLOBALFOUNDRIES INC,ORDINARY SHARES,,224281504,5042300,SH
42824C109,HEWLETT PACKARD ENTERPRISE C,COM,,553697788,23254842,SH
444859102,HUMANA INC,COM,,79707383,459700,SH
460146103,INTERNATIONAL PAPER CO,COM,,120654433,3379676,SH
G4253H101,JAMES HARDIE INDS PLC,ORD SHS,,101603630,5364500,SH
499049104,KNIGHT-SWIFT TRANSN HLDGS IN,CL A,,265915956,4618200,SH
N62509109,NEWAMSTERDAM PHARMA COMPANY,ORDINARY SHARES,,10211190,319000,SH
654902204,NOKIA CORP,SPONSORED ADR,,288143968,35838802,SH
670346105,NUCOR CORP,COM,,345212577,2041470,SH
682189105,ON SEMICONDUCTOR CORP,COM,,482901696,7798800,SH
69932A204,PARAMOUNT SKYDANCE CORP,COM CL B,,67765312,7512784,SH
74743L100,QNITY ELECTRONICS INC,COMMON STOCK,,287261586,2489700,SH
77311W101,ROCKET COS INC,COM CL A,,329928640,23152887,SH
78709Y105,SAIA INC,COM,,108194240,308000,SH
G8267P108,SMURFIT WESTROCK PLC,SHS,,7439357,186684,SH
83304A106,SNAP INC,CL A,,33522040,7287400,SH
83417M104,SOLAREDGE TECHNOLOGIES INC,COM,,37608535,736700,SH
34385P108,STANDARD BIOTOOLS INC,COM,,1484670,1615000,SH
861012102,STMICROELECTRONICS N V,NY REGISTRY,,211632570,6125400,SH
86384P109,STUBHUB HLDGS INC,CL A,,9105408,1459200,SH
35834F104,T1 ENERGY INC,COM NEW,,27601247,6287300,SH
882508104,TEXAS INSTRS INC,COM,,518397482,2670225,SH
H8817H100,TRANSOCEAN LTD,REGISTERED SHS,,199311723,30062100,SH
140755307,TVARDI THERAPEUTICS INC,COM,,2239095,704118,SH
90138F102,TWILIO INC,CL A,,93460354,742810,SH
907818108,UNION PAC CORP,COM,,177792906,732804,SH
910047109,UNITED AIRLS HLDGS INC,COM,,286618698,3113052,SH
91332U101,UNITY SOFTWARE INC,COM,,249013559,11349752,SH
963320106,WHIRLPOOL CORP,COM,,35711216,662300,SH
97785W106,WOLFSPEED INC,COMMON STOCK,,68452669,4438156,SH
983793100,XPO INC,COM,,19571730,100600,SH
