cusip,issuer,class,put_call,value_usd,shares,sh_type
02079K305,ALPHABET INC,CAP STK CL A,,305666647,1257370,SH
02079K107,ALPHABET INC,CAP STK CL C,,870832509,3575580,SH
023135106,AMAZON COM INC,COM,,1571426481,7156836,SH
023135106,AMAZON COM INC,COM,Call,1097850000,5000000,SH
023608102,AMEREN CORP,COM,,130289308,1248221,SH
025537101,AMERICAN ELEC PWR CO INC,COM,,450527175,4004686,SH
11271J107,BROOKFIELD CORP,CL A LTD VT SH,,175123693,3830352,SH
125896100,CMS ENERGY CORP,COM,,116244865,1586744,SH
126408103,CSX CORP,COM,,274596770,7732942,SH
235851102,DANAHER CORPORATION,COM,,29533206,148962,SH
233331107,DTE ENERGY CO,COM,,120189053,849813,SH
29364G103,ENTERGY CORP NEW,COM,,320474260,3438934,SH
31488V107,FERGUSON ENTERPRISES INC,COMMON STOCK NEW,,820982733,3655636,SH
337932107,FIRSTENERGY CORP,COM,,151799094,3312944,SH
57636Q104,MASTERCARD INCORPORATED,CL A,,624879308,1098573,SH
30303M102,META PLATFORMS INC,CL A,,534809298,728246,SH
594918104,MICROSOFT CORP,COM,,2067973903,3992613,SH
65473P105,NISOURCE INC,COM,,222958931,5149167,SH
69351T106,PPL CORP,COM,,44177555,1188847,SH
76131D103,RESTAURANT BRANDS INTL INC,COM,,19242000,300000,SH
76169C100,REXFORD INDL RLTY INC,COM,,377843572,9191038,SH
G7997R103,SEAGATE TECHNOLOGY HLDNGS PL,ORD SHS,,126141966,534364,SH
842587107,SOUTHERN CO,COM,,402779513,4250074,SH
874039100,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,,515076114,1844234,SH
883556102,THERMO FISHER SCIENTIFIC INC,COM,,40452608,83404,SH
893641100,TRANSDIGM GROUP INC,COM,,765908012,581105,SH
907818108,UNION PAC CORP,COM,,241767036,1022833,SH
92826C839,VISA INC,COM CL A,,577424129,1691441,SH
92939U106,WEC ENERGY GROUP INC,COM,,125808361,1097900,SH
958102105,WESTERN DIGITAL CORP,COM,,137621536,1146273,SH
