cusip,issuer,class,put_call,value_usd,shares,sh_type
003881307,ACACIA RESH CORP,ACACIA TCH COM,,284835953,61123595,SH
015857105,ALGONQUIN PWR UTILS CORP,COM,,338668450,62141000,SH
01626W101,ALIGHT INC,COM CL A,,321123000,43395000,SH
052769106,AUTODESK INC,COM,,510188960,1852000,SH
094235108,BLOOMIN BRANDS INC,COM,,139529730,8441000,SH
34965K107,FORTREA HLDGS INC,COMMON STOCK,,168000000,8400000,SH
668771108,GEN DIGITAL INC,COM,,480480448,17516604,SH
380237107,GODADDY INC,CL A,,491363101,3134093,SH
39304D102,GREEN DOT CORP,CL A,,58765242,5018381,SH
444859102,HUMANA INC,COM,,60497340,191000,SH
444859102,HUMANA INC,COM,Put,666000,60000,SH
464287630,ISHARES TR,RUS 2000 VAL ETF,,226041100,1355000,SH
57667L107,MATCH GROUP INC NEW,COM,,361604565,9556146,SH
65249B208,NEWS CORP NEW,CL B,,244059400,8732000,SH
65249B109,NEWS CORP NEW,CL A,,191773096,7201393,SH
74935Q107,RB GLOBAL INC,COM,,20216110,251163,SH
775133101,ROGERS CORP,COM,,90860040,804000,SH
79466L302,SALESFORCE INC,COM,,394648216,1441848,SH
M98068105,WIX COM LTD,SHS,,313778090,1877000,SH
92940WAD1,WIX COM LTD,NOTE 8/1,,7155600,7500000,PRN
