cusip,issuer,class,put_call,value_usd,shares,sh_type
007903107,ADVANCED MICRO DEVICES INC,COM,,99393701,171100,SH
01609W102,ALIBABA GROUP HLDG LTD,SPONSORED ADS,,8446240,88000,SH
038222105,APPLIED MATLS INC,COM,,289200,400,SH
N07059210,ASML HLDG NV,N Y REGISTRY SHS,,686357,345,SH
00246W103,AXT INC,COM,,10091200,140000,SH
056752108,BAIDU INC,SPON ADR REP A,,2994398,26200,SH
05722G100,BAKER HUGHES COMPANY,CL A,,32411723,583995,SH
11135F101,BROADCOM INC,COM,,37457690,99160,SH
05605H100,BWX TECHNOLOGIES INC,COM,,7786000,40000,SH
15101Q207,CELESTICA INC,COM,,39398400,108000,SH
166764100,CHEVRON CORPORATION,COM,,52612224,317400,SH
171779309,CIENA CORP,COM NEW,,17032243,34720,SH
219350105,CORNING INC,COM,,75139588,294169,SH
25445D101,DINGDONG CAYMAN LTD,ADS,,63690,33000,SH
N52A8C105,INNIO NV,ORDINARY SHARES,,6293671,159132,SH
458140100,INTEL CORP,COM,,65533944,469340,SH
501242101,KULICKE & SOFFA INDS INC,COM,,8398255,62786,SH
512807306,LAM RESEARCH CORP,COM NEW,,259998,600,SH
55024U109,LUMENTUM HLDGS INC,COM,,91778098,106960,SH
573874104,MARVELL TECHNOLOGY INC,COM,,86054463,288880,SH
595112103,MICRON TECHNOLOGY INC,COM,,36712193,31805,SH
647581206,NEW ORIENTAL ED & TECHNOLOGY,SPON ADR,,4714957,102700,SH
654902204,NOKIA CORP,SPONSORED ADR,,16147418,1215920,SH
683344105,ONTO INNOVATION INC,COM,,6622875,17500,SH
68389X204,ORACLE CORP,6.5 DEP CUM SR D,,449500,10000,SH
73044W302,POET TECHNOLOGIES INC,COM NEW,,5551200,540000,SH
747525103,QUALCOMM INC,COM,,56119060,303691,SH
770700102,ROBINHOOD MKTS INC,COM CL A,,51438827,512952,SH
77664L207,ROOT INC,CL A NEW,,8991824,160798,SH
80004C200,SANDISK CORP,COM,,2739845,1205,SH
G7997W102,SEADRILL LTD,COM,,2329712,61600,SH
816850101,SEMTECH CORP,COM,,6004635,37100,SH
82982T106,SITIME CORP,COM,,9319500,12500,SH
806857108,SLB LIMITED,COM STK,,11622500,250000,SH
83304A106,SNAP INC,CL A,,3998220,900500,SH
86800U500,SUPER MICRO COMPUTER INC,7 DEP CM SR A WI,,1039200,20000,SH
86800U302,SUPER MICRO COMPUTER INC,COM NEW,,6989339,238300,SH
874039100,TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,,216243696,452800,SH
880770102,TERADYNE INC,COM,,15482880,32000,SH
H8817H100,TRANSOCEAN LTD,REGISTERED SHS,,2176539,445100,SH
89677Q107,TRIP COM GROUP LTD,ADS,,10925204,274227,SH
910873405,UNITED MICROELECTRONICS CORP,SPON ADR NEW,,469917,17270,SH
G9460G101,VALARIS LTD,CL A,,2163480,29800,SH
98386P102,X-ENERGY INC,COM CL A,,11676960,636000,SH
