cusip,issuer,class,put_call,value_usd,shares,sh_type
02079K305,ALPHABET INC,CAP STK CL A,,878058090,2457000,SH
02079K107,ALPHABET INC,CAP STK CL C,,3511682917,9938819,SH
136375102,CANADIAN NATL RY CO,COM,,1124534915,9433422,SH
13646K108,CANADIAN PACIFIC KANSAS CITY,COM,,3925911608,45325726,SH
N3168P101,FERROVIAL NV,ORD SHS,,1434611939,20940441,SH
369604301,GE AEROSPACE,COM NEW,,17725353519,47428233,SH
573284106,MARTIN MARIETTA MATLS INC,COM,,758423360,1315109,SH
615369105,MOODYS CORP,COM,,6492167509,14334027,SH
78409V104,S&P GLOBAL INC,COM,,5735017808,14081957,SH
92826C839,VISA INC,COM CL A,,10462232091,30494133,SH
929160109,VULCAN MATLS CO,COM,,721890650,2447004,SH
