cusip,issuer,class,put_call,value_usd,shares,sh_type
02079K305,ALPHABET INC,CAP STK CL A,,366304250,1025000,SH
02079K404,ALPHABET INC,DEP SHS RP1/20 A,,66157000,1300000,SH
02079K602,ALPHABET INC,DEP SHS RP1/20 B,,10060000,200000,SH
023135106,AMAZON COM INC,COM,,417095000,1750000,SH
00187Y100,API GROUP CORP,COM STK,,121332750,2865000,SH
038169207,APPLIED DIGITAL CORP,COM NEW,,820600,22000,SH
03990B101,ARES MANAGEMENT CORPORATION,CL A COM STK,,41741250,375000,SH
82835W108,ARS PHARMACEUTICALS INC,COM,,8010000,1000000,SH
N07059210,ASML HLDG NV,N Y REGISTRY SHS,,59606160,30000,SH
051774115,AURORA INNOVATION INC,*W EXP 11/03/202,,587384,1835000,SH
051774107,AURORA INNOVATION INC,CLASS A COM,,7041398,1032463,SH
071705107,BAUSCH PLUS LOMB CORP,COMMON SHARES,,1407600,85000,SH
852234103,BLOCK INC,CL A,,194479668,2558943,SH
14040H105,CAPITAL ONE FINL CORP,COM,,165511500,825000,SH
144285103,CARPENTER TECHNOLOGY CORP,COM,,132620600,215000,SH
21874A106,CORE SCIENTIFIC INC NEW,COM,,1381860,54000,SH
G25508105,CRH PLC,ORD,,234865000,2195000,SH
235851102,DANAHER CORP DEL,COM,,102859200,540000,SH
296013105,EROCK INC,CL A COM,,1203935,83030,SH
Y2573F102,FLEX LTD,ORD,,166932100,1030000,SH
343928115,FLYEXCLUSIVE INC,*W EXP 99/99/999,,77175,367499,SH
343928107,FLYEXCLUSIVE INC,COM CL A,,2044000,1022000,SH
42806J148,HERTZ GLOBAL HLDGS INC,*W EXP 06/30/205,,4327300,3970000,SH
44812J104,HUT 8 CORP,COM,,151810175,1315000,SH
49338L103,KEYSIGHT TECHNOLOGIES INC,COM,,204790950,585000,SH
53680QAA6,LITHIUM ARGENTINA AG,NOTE 1.750% 1/1,,611750,625000,PRN
538034109,LIVE NATION ENTERTAINMENT IN,COM,,207829850,1135000,SH
576323109,MASTEC INC,COM,,120657400,290000,SH
655844108,NORFOLK SOUTHN CORP,COM,,188754000,600000,SH
71377A103,PERFORMANCE FOOD GROUP CO,COM,,75458250,675000,SH
767292AB1,RIOT PLATFORMS INC,NOTE 0.750% 1/1,,7033950,3500000,PRN
88023U101,SOMNIGROUP INTERNATIONAL INC,COM,,201548290,2570769,SH
84615Q103,SPACE EXPLORATION TECHN CORP,CLASS A COM STK,,30825707,180415,SH
78462F103,STATE STR SPDR S&P 500 ETF T,TR UNIT,Put,28800000,40000,SH
092667104,STRATA CRITICAL MEDICAL INC,CL A COM,,26350000,5000000,SH
871829107,SYSCO CORP,COM,,48157226,580000,SH
874039100,TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,,219682200,460000,SH
879433829,TELEPHONE & DATA SYS INC,COM NEW,,232237750,6275000,SH
893641100,TRANSDIGM GROUP INC,COM,,105231160,79000,SH
87305R109,TTM TECHNOLOGIES INC,COM,,94445100,505000,SH
907818108,UNION PAC CORP,COM,,95200000,350000,SH
934423104,WARNER BROS DISCOVERY INC,COM SER A,,533200000,20000000,SH
97785W106,WOLFSPEED INC,COMMON STOCK,,482500,10000,SH
