cusip,issuer,class,put_call,value_usd,shares,sh_type
46090E103,INVESCO QQQ TR,UNIT SER 1,,14976514,25948,SH
921943858,VANGUARD TAX-MANAGED FDS,VAN FTSE DEV MKT,,14621998,228183,SH
922042858,VANGUARD INTL EQUITY INDEX F,FTSE EMR MKT ETF,,11895894,220091,SH
922908744,VANGUARD INDEX FDS,VALUE ETF,,10346327,52734,SH
922908736,VANGUARD INDEX FDS,GROWTH ETF,,9514597,21783,SH
922908363,VANGUARD INDEX FDS,S&P 500 ETF SHS,,9142870,15301,SH
922908595,VANGUARD INDEX FDS,SML CP GRW ETF,,8625191,28537,SH
922908611,VANGUARD INDEX FDS,SM CP VAL ETF,,8252149,37985,SH
922908512,VANGUARD INDEX FDS,MCAP VL IDXVIP,,8111888,44019,SH
33733E856,FIRST TR EXCHANGE-TRADED FD,FT VEST GOLD,,7189132,281595,SH
37954Y459,GLOBAL X FDS,RUSSELL 2000,,7034617,470543,SH
37954Y483,GLOBAL X FDS,NASDAQ 100 COVER,,6691276,390162,SH
67066G104,NVIDIA CORPORATION,COM,,6089528,34917,SH
46641Q332,J P MORGAN EXCHANGE TRADED F,EQUITY PREMIUM,,6007391,105988,SH
032108847,AMPLIFY ETF TR,CEF HIGH INCOME,,5955703,539955,SH
37954Y475,GLOBAL X FDS,S&P 500 COVERED,,5674675,145021,SH
478160104,JOHNSON & JOHNSON,COM,,5608174,22943,SH
125269100,CF INDUSTRIES HOLD,COM,,5490902,42290,SH
26875P101,EOG RES INC,COM,,5042264,34878,SH
58933Y105,MERCK & CO INC,COM,,4934204,41019,SH
594918104,MICROSOFT CORP,COM,,4919024,13289,SH
92343V104,VERIZON COMMUNICATIONS INC,COM,,4784332,95305,SH
35137L105,FOX CORP,CL A COM,,4591510,78622,SH
02209S103,ALTRIA GROUP INC,COM,,4584436,69472,SH
433000106,HIMS & HERS HEALTH INC,COM CL A,,4541312,218753,SH
037833100,APPLE INC,COM,,4490733,17695,SH
713448108,PEPSICO INC,COM,,4365455,28112,SH
11135F101,BROADCOM INC,COM,,4351401,14059,SH
12572Q105,CME GROUP INC,COM,,4324019,14640,SH
833034101,SNAP ON INC,COM,,4305924,11855,SH
74144T108,PRICE T ROWE GROUP INC,COM,,4304748,47756,SH
98149E303,WORLD GOLD TR,SPDR GLD MINIS,,4296923,46358,SH
922908553,VANGUARD INDEX FDS,REAL ESTATE ETF,,4296362,48437,SH
G1151C101,ACCENTURE PLC IRELAND,SHS CLASS A,,4280795,21589,SH
742718109,PROCTER & GAMBLE CO,COM,,4277130,29612,SH
02079K305,ALPHABET INC,CAP STK CL A,,4269232,14846,SH
12503M108,CBOE GLOBAL MKTS INC,COM,,4244907,15103,SH
91307C102,UNITED THERAPEUTICS CORP DEL,COM,,4240993,7152,SH
375558103,GILEAD SCIENCES INC,COM,,4240661,30427,SH
20030N101,COMCAST CORP NEW,CL A,,4211692,146698,SH
500754106,KRAFT HEINZ CO,COM,,4174105,185598,SH
464288448,ISHARES TR,INTL SEL DIV ETF,,4145588,97406,SH
33939L662,FLEXSHARES TR,HIG YLD VL ETF,,4130898,103118,SH
452308109,ILLINOIS TOOL WKS INC,COM,,4107294,15780,SH
925652109,VICI PPTYS INC,COM,,4073106,149089,SH
053611109,AVERY DENNISON CORP,COM,,3988936,23100,SH
494368103,KIMBERLY-CLARK CORP,COM,,3979838,41255,SH
98980L101,ZOOM COMMUNICATIONS INC,CL A,,3978983,49496,SH
194162103,COLGATE PALMOLIVE CO,COM,,3976587,46657,SH
46434V621,ISHARES TR,CORE DIV GRWTH,,3923485,55906,SH
Y2573F102,FLEXTRONICS INTL LTD,ORD,,3862075,58999,SH
831865209,SMITH A O CORP,COM,,3820867,57945,SH
30161Q104,EXELIXIS INC,COM,,3806101,88741,SH
609839105,MONOLITHIC PWR SYS INC,COM,,3760038,3439,SH
370334104,GENERAL MILLS INC,COM,,3723989,100053,SH
205887102,CONAGRA BRANDS INC,COM,,3712933,236192,SH
16679L109,CHEWY INC,CL A,,3675780,136140,SH
64125C109,NEUROCRINE BIOSCIENCES INC,COM,,3671199,27867,SH
922908538,VANGUARD INDEX FDS,MCAP GR IDXVIP,,3633133,14117,SH
751212101,RALPH LAUREN CORP,CL A,,3621427,10528,SH
532457108,ELI LILLY & CO,COM,,3597214,3911,SH
931142103,WALMART INC,COM,,3559120,28638,SH
888787108,TOAST INC,CL A,,3489008,131611,SH
28414H103,ELANCO ANIMAL HEALTH INC,COM,,3435965,143584,SH
002824100,ABBOTT LABORATORIES,COM,,3373641,32859,SH
745867101,PULTE GROUP INC,COM,,3341869,28415,SH
40637H109,HALOZYME THERAPEUTICS INC,COM,,3336976,51632,SH
589889104,MERIT MED SYS INC,COM,,3324494,48230,SH
243537107,DECKERS OUTDOOR CORP,COM,,3321887,33189,SH
03831W108,APPLOVIN CORP,COM CL A,,3295838,8281,SH
595112103,MICRON TECHNOLOGY INC,COM,,3246638,9610,SH
084423102,BERKLEY W R CORP,COM,,3220264,48586,SH
45784P101,INSULET CORP,COM,,3125986,14897,SH
464286319,ISHARES INC,EM MKTS DIV ETF,,3124192,90872,SH
88033G407,TENET HEALTHCARE CORP,COM NEW,,3046346,16143,SH
921937835,VANGUARD BD INDEX FDS,TOTAL BND MRKT,,3003207,40782,SH
92206C870,VANGUARD SCOTTSDALE FDS,INT-TERM CORP,,2887860,34899,SH
78464A359,SPDR SERIES TRUST,STATE STREET SPD,,2805512,30655,SH
921946406,VANGUARD WHITEHALL FDS,HIGH DIV YLD,,2622585,17708,SH
921908844,VANGUARD SPECIALIZED FUNDS,DIV APP ETF,,2276947,10587,SH
81369Y506,SELECT SECTOR SPDR TR,STATE STREET ENE,,2210264,36080,SH
78468R622,SPDR SERIES TRUST,STATE STREET SPD,,2189413,22873,SH
92206C847,VANGUARD SCOTTSDALE FDS,LONG TERM TREAS,,2133542,38543,SH
78468R788,SPDR SERIES TRUST,STATE STREET SPD,,2115279,46469,SH
92206C706,VANGUARD SCOTTSDALE FDS,INTER TERM TREAS,,2064561,34669,SH
46434V407,ISHARES TR,0-5YR HI YL CP,,2040488,48227,SH
92206C771,VANGUARD SCOTTSDALE FDS,MTG-BKD SECS ETF,,1928361,41073,SH
922908751,VANGUARD INDEX FDS,SMALL CP ETF,,1721000,6571,SH
464288687,ISHARES TR,PFD AND INCM SEC,,1678924,55373,SH
922908769,VANGUARD INDEX FDS,TOTAL STK MKT,,1585374,4942,SH
031162100,AMGEN INC,COM,,1579860,4490,SH
46138E610,INVESCO EXCH TRADED FD TR II,KBW HIG DV YLD,,1527140,121782,SH
922908629,VANGUARD INDEX FDS,MID CAP ETF,,1466746,5107,SH
78464A409,SPDR SERIES TRUST,STATE STREET SPD,,1434900,14655,SH
81369Y209,SELECT SECTOR SPDR TR,STATE STREET HEA,,1422681,9704,SH
46434V878,ISHARES TR,ULTRA SHORT DUR,,1397763,27613,SH
81369Y308,SELECT SECTOR SPDR TR,STATE STREET CON,,1396186,17031,SH
92189H409,VANECK ETF TRUST,HIGH YLD MUNIETF,,1315384,26234,SH
92203J407,VANGUARD CHARLOTTE FDS,TOTAL INT BD ETF,,1092739,22742,SH
464289883,ISHARES TR,CORE 30/70 CONSE,,1035944,25970,SH
78464A474,SPDR SERIES TRUST,STATE STREET SPD,,993709,33047,SH
