cusip,issuer,class,put_call,value_usd,shares,sh_type
G3421J106,FERGUSON PLC NEW,SHS,,129591161,669203,SH
G3421J106,FERGUSON PLC NEW,SHS,,248774409,1284660,SH
369604301,GENERAL ELECTRIC CO.,COM NEW,,640682961,4030213,SH
36266G107,GE HEALTHCARE TECHNOLOGIES INC.,COM,,104633547,1342833,SH
G491BT108,INVESCO LTD.,SHS,,407267061,27223734,SH
G4474Y214,JANUS HENDERSON GROUP PLC,ORD SHS,,1074263538,31867800,SH
760125104,RENTOKIL INITIAL PLC,SPONSORED ADR,,13935500,470000,SH
023586100,U-HAUL HOLDING COMPANY,COM,,24056181,389700,SH
023586506,U-HAUL HOLDING COMPANY - B,COM SER N,,54576186,909300,SH
254687106,THE WALT DISNEY COMPANY,COM,,262679936,2645583,SH
83444M101,SOLVENTUM CORPORATION,COM SHS,,283467418,5360579,SH
200021014,THE ALLSTATE CORPORATION,COM,,321476687,2013508,SH
95058W100,WENDYS CO.,COM,,270401183,15943466,SH
95058W100,WENDYS CO.,COM,,263972258,15564402,SH
