cusip,issuer,class,put_call,value_usd,shares,sh_type
023135106,AMAZON COM INC,COM,,783472326,3394300,SH
09290D101,BLACKROCK INC,COM,,743886300,695000,SH
12504L109,CBRE GROUP INC,CL A,,37719887,234591,SH
254687106,DISNEY WALT CO,COM,,350176210,3077931,SH
45765U103,INSIGHT ENTERPRISES INC,COM,,99115750,1216592,SH
530909100,LIBERTY LIVE HOLDINGS INC,COM SER A,,146644499,1799319,SH
530909308,LIBERTY LIVE HOLDINGS INC,COM SHS SER C,,299707642,3603988,SH
538034109,LIVE NATION ENTERTAINMENT IN,COM,,117286905,823066,SH
30303M102,META PLATFORMS INC,CL A,,691757158,1047974,SH
60937P106,MONGODB INC,CL A,,590419892,1406800,SH
771049103,ROBLOX CORP,CL A,,484220776,5975821,SH
77311W101,ROCKET COS INC,COM CL A,,762409423,39380652,SH
79466L302,SALESFORCE INC,COM,,793275379,2994509,SH
829073105,SIMPSON MFG INC,COM,,237706769,1472142,SH
888787108,TOAST INC,CL A,,284622486,8015277,SH
92826C839,VISA INC,COM CL A,,602607458,1718250,SH
