cusip,issuer,class,put_call,value_usd,shares,sh_type
00510N102,ACUREN CORP,COM,,379334400,34360000,SH
00650F109,ADAPTIVE BIOTECHNOLOGIES COR,COM,,349426698,29993708,SH
007903107,ADVANCED MICRO DEVICES INC,COM,,271110025,1910571,SH
009158106,AIR PRODS & CHEMS INC,COM,,607600677,2154154,SH
023135106,AMAZON COM INC,COM,,854983014,3897092,SH
G0260P102,AMER SPORTS INC,COM SHS,,150413955,3880649,SH
026874784,AMERICAN INTL GROUP INC,COM NEW,,155413038,1815785,SH
03027X100,AMERICAN TOWER CORP NEW,COM,,618220568,2797125,SH
00187Y100,API GROUP CORP,COM STK,,588990294,11537518,SH
03831W108,APPLOVIN CORP,COM CL A,,130570388,372973,SH
060505104,BANK AMERICA CORP,COM,,1478606715,31246972,SH
09061G101,BIOMARIN PHARMACEUTICAL INC,COM,,675504947,12288611,SH
09290D101,BLACKROCK INC,COM,,204712872,195104,SH
852234103,BLOCK INC,CL A,,368212867,5420475,SH
097023105,BOEING CO,COM,,594031169,2835065,SH
101137107,BOSTON SCIENTIFIC CORP,COM,,327145511,3045764,SH
10806X102,BRIDGEBIO PHARMA INC,COM,,801221093,18555375,SH
133131102,CAMDEN PPTY TR,SH BEN INT,,306068519,2716022,SH
14040H105,CAPITAL ONE FINL CORP,COM,,1206638128,5671358,SH
143658300,CARNIVAL CORP,UNIT 99/99/9999,,371388348,13207267,SH
146869102,CARVANA CO,CL A,,363234793,1077976,SH
03073E105,CENCORA INC,COM,,624207340,2081732,SH
169656105,CHIPOTLE MEXICAN GRILL INC,COM,,319408320,5688483,SH
12572Q105,CME GROUP INC,COM,,164648222,597374,SH
22160N109,COSTAR GROUP INC,COM,,258772867,3218568,SH
126408103,CSX CORP,COM,,615789510,18871882,SH
23331A109,D R HORTON INC,COM,,364460965,2827032,SH
235851102,DANAHER CORPORATION,COM,,574350513,2907515,SH
254687106,DISNEY WALT CO,COM,,725218665,5848066,SH
532457108,ELI LILLY & CO,COM,,325000089,416918,SH
G31249108,ESTABLISHMENT LABS HLDGS INC,COM,,14669390,343465,SH
